26
poynba rmhkaf dbzlzl srowav efridh ukfdir tvlinj lehytt
4 6 8 5 2 1 3 7
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
3 8 X 1 2 {0, -1}
8 7 X 3 1 {0, -1}
10 6 X 1 8 {0, -1}
17 5 X 10 1 {0, -1}
24 2 X 17 1 {0, -1}
5 7 X 1 2 {0, -1}
12 6 X 8 5 {0, -1}
4 8 X 2 1 {0, -1}
6 7 X 1 4 {0, -1}
18 5 X 12 6 {0, -1}
11 6 X 5 1 {0, -1}
14 5 X 3 11 {0, -1}
21 4 X 18 14 {0, -1}
16 5 X 8 1 {0, -1}
23 3 X 21 16 {0, -1}
9 6 X 1 6 {0, -1}
13 5 X 1 9 {0, -1}
7 7 X 2 1 {0, -1}
15 5 X 7 1 {0, -1}
20 4 X 13 15 {0, -1}
19 4 X 1 17 {0, -1}
22 3 X 20 19 {0, -1}
25 2 X 23 22 {0, -1}
26 1 X 24 25 {0, -1}
