107
osctsw arjvok jgtaoz ydzpna vrcnuw biypft sjtjin rmkmfi mqcqcl lbqmcg gfdqgo lxnbfx tomqor euesde gtimvm nfrcbk
14 16 1 12 3 8 11 13 6 7 9 10 2 4 5 15
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
33 12 X 2 1 {0, -1}
10 14 X 1 2 {0, -1}
5 15 X 1 2 {0, -1}
17 14 X 5 2 {0, -1}
22 13 X 10 17 {0, -1}
35 12 X 22 1 {0, -1}
40 11 X 33 35 {0, -1}
49 10 X 40 35 {0, -1}
57 9 X 1 49 {0, -1}
71 8 X 57 1 {0, -1}
84 7 X 71 1 {0, -1}
89 6 X 1 84 {0, -1}
3 16 X 1 2 {0, -1}
11 14 X 1 3 {0, -1}
6 15 X 1 3 {0, -1}
19 14 X 6 3 {0, -1}
25 13 X 11 19 {0, -1}
51 9 X 1 25 {0, -1}
68 8 X 51 1 {0, -1}
83 7 X 68 1 {0, -1}
88 6 X 1 83 {0, -1}
96 5 X 89 88 {0, -1}
100 4 X 96 1 {0, -1}
13 14 X 1 6 {0, -1}
21 13 X 1 13 {0, -1}
30 12 X 1 21 {0, -1}
39 11 X 1 30 {0, -1}
48 10 X 39 1 {0, -1}
56 9 X 1 48 {0, -1}
70 8 X 56 1 {0, -1}
81 7 X 1 70 {0, -1}
7 15 X 2 1 {0, -1}
14 14 X 1 7 {0, -1}
4 16 X 2 1 {0, -1}
9 15 X 4 1 {0, -1}
16 14 X 1 9 {0, -1}
28 13 X 16 14 {0, -1}
34 12 X 14 28 {0, -1}
61 9 X 34 22 {0, -1}
74 8 X 61 1 {0, -1}
32 12 X 1 25 {0, -1}
47 10 X 32 1 {0, -1}
55 9 X 1 47 {0, -1}
69 8 X 55 1 {0, -1}
87 7 X 74 69 {0, -1}
94 6 X 81 87 {0, -1}
8 15 X 3 1 {0, -1}
15 14 X 1 8 {0, -1}
27 13 X 15 14 {0, -1}
24 13 X 11 17 {0, -1}
60 9 X 27 24 {0, -1}
73 8 X 60 1 {0, -1}
86 7 X 73 69 {0, -1}
93 6 X 81 86 {0, -1}
97 5 X 94 93 {0, -1}
38 11 X 1 14 {0, -1}
44 10 X 1 38 {0, -1}
36 11 X 1 10 {0, -1}
42 10 X 1 36 {0, -1}
62 9 X 44 42 {0, -1}
67 8 X 1 62 {0, -1}
80 7 X 1 67 {0, -1}
58 9 X 14 22 {0, -1}
72 8 X 58 1 {0, -1}
29 12 X 1 14 {0, -1}
45 10 X 29 1 {0, -1}
18 14 X 6 2 {0, -1}
23 13 X 10 18 {0, -1}
31 12 X 1 23 {0, -1}
46 10 X 31 1 {0, -1}
63 9 X 45 46 {0, -1}
59 9 X 14 23 {0, -1}
76 8 X 63 59 {0, -1}
85 7 X 72 76 {0, -1}
92 6 X 80 85 {0, -1}
95 5 X 1 92 {0, -1}
101 4 X 97 95 {0, -1}
104 3 X 100 101 {0, -1}
53 9 X 1 42 {0, -1}
65 8 X 1 53 {0, -1}
78 7 X 1 65 {0, -1}
50 9 X 1 10 {0, -1}
75 8 X 63 50 {0, -1}
82 7 X 1 75 {0, -1}
90 6 X 78 82 {0, -1}
98 4 X 1 90 {0, -1}
102 3 X 1 98 {0, -1}
106 2 X 104 102 {0, -1}
12 14 X 1 5 {0, -1}
37 11 X 1 12 {0, -1}
43 10 X 1 37 {0, -1}
54 9 X 1 43 {0, -1}
66 8 X 1 54 {0, -1}
79 7 X 1 66 {0, -1}
20 14 X 6 5 {0, -1}
26 13 X 12 20 {0, -1}
41 10 X 1 26 {0, -1}
52 9 X 1 41 {0, -1}
64 8 X 1 52 {0, -1}
77 7 X 1 64 {0, -1}
91 6 X 79 77 {0, -1}
99 4 X 1 91 {0, -1}
103 3 X 1 99 {0, -1}
105 2 X 1 103 {0, -1}
107 1 X 106 105 {0, -1}
