65
xjucsp vscgce jznjty sgzbsd nobdwz tqlugn dhewnp jsheyh ilnpsr nmbzro
10 4 2 1 9 7 3 8 5 6
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
9 9 X 3 1 {0, -1}
17 8 X 3 9 {0, -1}
31 7 X 17 9 {0, -1}
41 6 X 31 3 {0, -1}
45 5 X 1 41 {0, -1}
10 9 X 3 2 {0, -1}
23 8 X 10 9 {0, -1}
35 7 X 23 9 {0, -1}
21 8 X 9 1 {0, -1}
32 7 X 17 21 {0, -1}
44 6 X 35 32 {0, -1}
6 9 X 2 1 {0, -1}
14 8 X 2 6 {0, -1}
28 7 X 14 1 {0, -1}
7 9 X 2 3 {0, -1}
18 8 X 7 2 {0, -1}
4 10 X 2 1 {0, -1}
5 9 X 1 4 {0, -1}
11 8 X 1 5 {0, -1}
33 7 X 18 11 {0, -1}
38 6 X 28 33 {0, -1}
52 5 X 44 38 {0, -1}
55 4 X 45 52 {0, -1}
43 6 X 35 31 {0, -1}
29 7 X 14 6 {0, -1}
8 9 X 2 4 {0, -1}
19 8 X 7 8 {0, -1}
34 7 X 19 18 {0, -1}
39 6 X 29 34 {0, -1}
51 5 X 43 39 {0, -1}
60 3 X 55 51 {0, -1}
13 8 X 1 9 {0, -1}
27 7 X 13 9 {0, -1}
48 5 X 9 27 {0, -1}
26 7 X 13 1 {0, -1}
37 6 X 26 1 {0, -1}
12 8 X 1 6 {0, -1}
25 7 X 12 1 {0, -1}
36 6 X 25 1 {0, -1}
50 5 X 37 36 {0, -1}
58 4 X 48 50 {0, -1}
22 8 X 9 6 {0, -1}
24 7 X 1 22 {0, -1}
47 5 X 9 24 {0, -1}
57 4 X 47 1 {0, -1}
62 3 X 58 57 {0, -1}
63 2 X 60 62 {0, -1}
15 8 X 3 1 {0, -1}
42 6 X 31 15 {0, -1}
46 5 X 1 42 {0, -1}
16 8 X 3 6 {0, -1}
30 7 X 16 6 {0, -1}
20 8 X 7 10 {0, -1}
40 6 X 30 20 {0, -1}
49 5 X 31 40 {0, -1}
56 4 X 46 49 {0, -1}
61 3 X 56 50 {0, -1}
53 4 X 31 50 {0, -1}
54 4 X 37 1 {0, -1}
59 3 X 53 54 {0, -1}
64 2 X 61 59 {0, -1}
65 1 X 63 64 {0, -1}
