25
wvrqbx elryeg weuuao vwpfjc zbdoec lxzfir ttocbu zgjtpt mdnwso lrvpzf
4 7 2 8 9 1 10 3 5 6
3 11 1 -1 -1 {1}
2 11 0 -1 -1 {0}
6 9 X 2 3 {0, 1}
8 8 X 3 6 {0, 1}
12 6 X 3 8 {0, 1}
16 5 X 3 12 {0, 1}
19 4 X 3 16 {0, 1}
5 10 X 2 3 {0, 1}
7 9 X 5 3 {0, 1}
10 8 X 7 3 {0, 1}
11 7 X 10 3 {0, 1}
15 6 X 11 3 {0, 1}
9 8 X 5 2 {0, 1}
14 6 X 10 9 {0, 1}
18 5 X 15 14 {0, 1}
20 4 X 3 18 {0, 1}
17 5 X 15 3 {0, 1}
21 4 X 17 18 {0, 1}
23 3 X 20 21 {0, 1}
24 2 X 19 23 {0, 1}
1 11 -1 -1 -1 {-1}
4 10 X 1 3 {1, -1}
13 6 X 4 1 {1, -1}
22 3 X 1 13 {1, -1}
25 1 X 24 22 {0, 1, -1}
