353
nnutbn zdojek tcuxlq eyumee xctyoy bljjrs tzcrka jwugwg sgzggk aynylg oexdnw mhdnyk idxlwd pasjdh fqvrpp gutjyo
6 12 8 9 10 11 1 2 4 13 3 7 16 5 14 15
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
5 15 X 1 2 {0, -1}
14 14 X 5 1 {0, -1}
19 13 X 1 14 {0, -1}
41 12 X 1 19 {0, -1}
87 11 X 41 19 {0, -1}
106 10 X 41 87 {0, -1}
197 9 X 106 1 {0, -1}
253 8 X 197 1 {0, -1}
10 14 X 2 1 {0, -1}
24 13 X 10 14 {0, -1}
42 12 X 1 24 {0, -1}
89 11 X 42 24 {0, -1}
108 10 X 42 89 {0, -1}
56 11 X 1 24 {0, -1}
199 9 X 108 56 {0, -1}
255 8 X 199 1 {0, -1}
293 7 X 253 255 {0, -1}
4 16 X 2 1 {0, -1}
8 15 X 4 2 {0, -1}
17 14 X 8 1 {0, -1}
32 13 X 17 14 {0, -1}
48 12 X 1 32 {0, -1}
96 11 X 48 42 {0, -1}
78 11 X 32 24 {0, -1}
149 10 X 96 78 {0, -1}
215 9 X 149 1 {0, -1}
269 8 X 215 1 {0, -1}
107 10 X 42 24 {0, -1}
198 9 X 107 56 {0, -1}
254 8 X 198 1 {0, -1}
307 7 X 269 254 {0, -1}
95 11 X 48 24 {0, -1}
150 10 X 96 95 {0, -1}
216 9 X 150 1 {0, -1}
270 8 X 216 1 {0, -1}
309 7 X 270 254 {0, -1}
326 6 X 307 309 {0, -1}
331 5 X 293 326 {0, -1}
101 10 X 19 1 {0, -1}
190 9 X 101 1 {0, -1}
246 8 X 190 1 {0, -1}
102 10 X 24 1 {0, -1}
124 10 X 56 1 {0, -1}
191 9 X 102 124 {0, -1}
247 8 X 191 1 {0, -1}
286 7 X 246 247 {0, -1}
175 9 X 19 1 {0, -1}
232 8 X 175 1 {0, -1}
178 9 X 24 56 {0, -1}
235 8 X 178 1 {0, -1}
279 7 X 232 235 {0, -1}
319 6 X 286 279 {0, -1}
148 10 X 89 1 {0, -1}
214 9 X 148 1 {0, -1}
268 8 X 214 1 {0, -1}
305 7 X 268 247 {0, -1}
183 9 X 89 1 {0, -1}
239 8 X 183 1 {0, -1}
283 7 X 239 235 {0, -1}
324 6 X 305 283 {0, -1}
337 5 X 319 324 {0, -1}
343 4 X 331 337 {0, -1}
152 9 X 1 56 {0, -1}
223 8 X 152 1 {0, -1}
292 7 X 253 223 {0, -1}
306 7 X 269 223 {0, -1}
308 7 X 270 223 {0, -1}
325 6 X 306 308 {0, -1}
330 5 X 292 325 {0, -1}
328 5 X 286 305 {0, -1}
342 4 X 330 328 {0, -1}
347 3 X 343 342 {0, -1}
13 14 X 4 1 {0, -1}
36 12 X 1 13 {0, -1}
66 11 X 1 36 {0, -1}
155 9 X 1 66 {0, -1}
218 8 X 1 155 {0, -1}
25 13 X 10 17 {0, -1}
43 12 X 1 25 {0, -1}
70 11 X 1 43 {0, -1}
156 9 X 1 70 {0, -1}
224 8 X 156 155 {0, -1}
273 7 X 218 224 {0, -1}
3 16 X 1 2 {0, -1}
6 15 X 1 3 {0, -1}
18 14 X 8 6 {0, -1}
21 13 X 1 18 {0, -1}
177 9 X 21 1 {0, -1}
53 11 X 1 13 {0, -1}
133 10 X 66 53 {0, -1}
171 9 X 1 133 {0, -1}
234 8 X 177 171 {0, -1}
11 14 X 2 6 {0, -1}
28 13 X 11 18 {0, -1}
45 12 X 1 28 {0, -1}
71 11 X 1 45 {0, -1}
59 11 X 1 28 {0, -1}
137 10 X 71 59 {0, -1}
180 9 X 28 137 {0, -1}
237 8 X 180 171 {0, -1}
281 7 X 234 237 {0, -1}
311 6 X 273 281 {0, -1}
157 9 X 1 71 {0, -1}
225 8 X 157 155 {0, -1}
274 7 X 218 225 {0, -1}
40 12 X 1 18 {0, -1}
86 11 X 40 45 {0, -1}
85 11 X 40 28 {0, -1}
147 10 X 86 85 {0, -1}
213 9 X 147 1 {0, -1}
267 8 X 213 171 {0, -1}
111 10 X 45 28 {0, -1}
202 9 X 111 137 {0, -1}
258 8 X 202 171 {0, -1}
304 7 X 267 258 {0, -1}
312 6 X 274 304 {0, -1}
333 5 X 311 312 {0, -1}
7 15 X 1 4 {0, -1}
16 14 X 7 1 {0, -1}
39 12 X 1 16 {0, -1}
69 11 X 1 39 {0, -1}
134 10 X 66 69 {0, -1}
172 9 X 1 134 {0, -1}
222 8 X 1 172 {0, -1}
37 12 X 1 14 {0, -1}
67 11 X 1 37 {0, -1}
136 10 X 70 67 {0, -1}
173 9 X 1 136 {0, -1}
230 8 X 173 172 {0, -1}
278 7 X 222 230 {0, -1}
20 13 X 1 17 {0, -1}
176 9 X 20 1 {0, -1}
233 8 X 176 171 {0, -1}
57 11 X 1 25 {0, -1}
135 10 X 70 57 {0, -1}
179 9 X 25 135 {0, -1}
236 8 X 179 171 {0, -1}
280 7 X 233 236 {0, -1}
316 6 X 278 280 {0, -1}
90 11 X 43 25 {0, -1}
110 10 X 43 90 {0, -1}
201 9 X 110 1 {0, -1}
257 8 X 201 171 {0, -1}
109 10 X 43 25 {0, -1}
200 9 X 109 135 {0, -1}
256 8 X 200 171 {0, -1}
294 7 X 257 256 {0, -1}
317 6 X 278 294 {0, -1}
335 5 X 316 317 {0, -1}
345 4 X 333 335 {0, -1}
12 14 X 3 1 {0, -1}
15 14 X 6 1 {0, -1}
30 13 X 12 15 {0, -1}
47 12 X 1 30 {0, -1}
72 11 X 1 47 {0, -1}
38 12 X 1 15 {0, -1}
68 11 X 1 38 {0, -1}
138 10 X 72 68 {0, -1}
174 9 X 1 138 {0, -1}
231 8 X 174 1 {0, -1}
271 7 X 1 231 {0, -1}
339 4 X 1 271 {0, -1}
349 3 X 345 339 {0, -1}
351 2 X 347 349 {0, -1}
35 12 X 1 12 {0, -1}
82 11 X 35 12 {0, -1}
104 10 X 35 82 {0, -1}
194 9 X 104 1 {0, -1}
52 11 X 1 12 {0, -1}
151 9 X 1 52 {0, -1}
250 8 X 194 151 {0, -1}
94 11 X 47 30 {0, -1}
105 10 X 35 94 {0, -1}
61 11 X 1 30 {0, -1}
120 10 X 52 61 {0, -1}
196 9 X 105 120 {0, -1}
119 10 X 52 1 {0, -1}
160 9 X 1 119 {0, -1}
252 8 X 196 160 {0, -1}
290 7 X 250 252 {0, -1}
29 13 X 12 1 {0, -1}
46 12 X 1 29 {0, -1}
84 11 X 35 46 {0, -1}
83 11 X 35 29 {0, -1}
145 10 X 84 83 {0, -1}
211 9 X 145 1 {0, -1}
60 11 X 1 29 {0, -1}
153 9 X 1 60 {0, -1}
265 8 X 211 153 {0, -1}
302 7 X 265 252 {0, -1}
322 6 X 290 302 {0, -1}
103 10 X 35 30 {0, -1}
192 9 X 103 1 {0, -1}
248 8 X 192 160 {0, -1}
193 9 X 103 120 {0, -1}
249 8 X 193 160 {0, -1}
288 7 X 248 249 {0, -1}
93 11 X 47 29 {0, -1}
146 10 X 84 93 {0, -1}
212 9 X 146 1 {0, -1}
126 10 X 60 1 {0, -1}
164 9 X 1 126 {0, -1}
266 8 X 212 164 {0, -1}
303 7 X 266 249 {0, -1}
321 6 X 288 303 {0, -1}
338 5 X 322 321 {0, -1}
97 10 X 10 1 {0, -1}
184 9 X 97 1 {0, -1}
50 11 X 1 10 {0, -1}
113 10 X 50 1 {0, -1}
158 9 X 1 113 {0, -1}
240 8 X 184 158 {0, -1}
115 10 X 50 56 {0, -1}
186 9 X 97 115 {0, -1}
242 8 X 186 158 {0, -1}
285 7 X 240 242 {0, -1}
23 13 X 10 1 {0, -1}
73 11 X 10 23 {0, -1}
75 11 X 24 23 {0, -1}
139 10 X 73 75 {0, -1}
205 9 X 139 1 {0, -1}
55 11 X 1 23 {0, -1}
122 10 X 55 1 {0, -1}
162 9 X 1 122 {0, -1}
259 8 X 205 162 {0, -1}
98 10 X 10 24 {0, -1}
187 9 X 98 115 {0, -1}
243 8 X 187 158 {0, -1}
295 7 X 259 243 {0, -1}
318 6 X 285 295 {0, -1}
33 12 X 1 10 {0, -1}
79 11 X 33 10 {0, -1}
141 10 X 79 1 {0, -1}
207 9 X 141 1 {0, -1}
261 8 X 207 158 {0, -1}
298 7 X 261 242 {0, -1}
80 11 X 33 23 {0, -1}
88 11 X 42 23 {0, -1}
142 10 X 80 88 {0, -1}
208 9 X 142 1 {0, -1}
262 8 X 208 162 {0, -1}
299 7 X 262 243 {0, -1}
323 6 X 298 299 {0, -1}
336 5 X 318 323 {0, -1}
346 4 X 338 336 {0, -1}
161 9 X 1 120 {0, -1}
226 8 X 161 160 {0, -1}
289 7 X 250 226 {0, -1}
287 7 X 248 226 {0, -1}
195 9 X 105 1 {0, -1}
251 8 X 195 160 {0, -1}
291 7 X 251 226 {0, -1}
320 6 X 287 291 {0, -1}
329 5 X 289 320 {0, -1}
185 9 X 97 113 {0, -1}
241 8 X 185 158 {0, -1}
284 7 X 240 241 {0, -1}
297 7 X 261 241 {0, -1}
327 5 X 284 297 {0, -1}
341 4 X 329 327 {0, -1}
350 3 X 346 341 {0, -1}
63 11 X 1 33 {0, -1}
154 9 X 1 63 {0, -1}
217 8 X 1 154 {0, -1}
128 10 X 63 70 {0, -1}
166 9 X 1 128 {0, -1}
127 10 X 63 66 {0, -1}
165 9 X 1 127 {0, -1}
227 8 X 166 165 {0, -1}
272 7 X 217 227 {0, -1}
26 13 X 11 1 {0, -1}
74 11 X 11 26 {0, -1}
182 9 X 74 1 {0, -1}
9 14 X 1 6 {0, -1}
22 13 X 9 1 {0, -1}
54 11 X 1 22 {0, -1}
58 11 X 1 26 {0, -1}
181 9 X 54 58 {0, -1}
238 8 X 182 181 {0, -1}
100 10 X 11 28 {0, -1}
51 11 X 1 11 {0, -1}
118 10 X 51 59 {0, -1}
189 9 X 100 118 {0, -1}
49 11 X 1 9 {0, -1}
112 10 X 49 1 {0, -1}
117 10 X 51 53 {0, -1}
203 9 X 112 117 {0, -1}
245 8 X 189 203 {0, -1}
282 7 X 238 245 {0, -1}
310 6 X 272 282 {0, -1}
34 12 X 1 11 {0, -1}
64 11 X 1 34 {0, -1}
129 10 X 64 66 {0, -1}
167 9 X 1 129 {0, -1}
220 8 X 1 167 {0, -1}
130 10 X 64 71 {0, -1}
168 9 X 1 130 {0, -1}
228 8 X 168 167 {0, -1}
276 7 X 220 228 {0, -1}
81 11 X 34 26 {0, -1}
92 11 X 45 26 {0, -1}
144 10 X 81 92 {0, -1}
210 9 X 144 1 {0, -1}
121 10 X 54 1 {0, -1}
31 13 X 13 1 {0, -1}
62 11 X 1 31 {0, -1}
125 10 X 58 62 {0, -1}
204 9 X 121 125 {0, -1}
264 8 X 210 204 {0, -1}
301 7 X 264 245 {0, -1}
315 6 X 276 301 {0, -1}
332 5 X 310 315 {0, -1}
219 8 X 1 165 {0, -1}
275 7 X 219 227 {0, -1}
27 13 X 11 17 {0, -1}
76 11 X 27 23 {0, -1}
140 10 X 73 76 {0, -1}
206 9 X 140 1 {0, -1}
123 10 X 55 62 {0, -1}
163 9 X 1 123 {0, -1}
260 8 X 206 163 {0, -1}
77 11 X 27 25 {0, -1}
99 10 X 10 77 {0, -1}
116 10 X 50 57 {0, -1}
188 9 X 99 116 {0, -1}
114 10 X 50 53 {0, -1}
159 9 X 1 114 {0, -1}
244 8 X 188 159 {0, -1}
296 7 X 260 244 {0, -1}
313 6 X 275 296 {0, -1}
44 12 X 1 27 {0, -1}
91 11 X 44 23 {0, -1}
143 10 X 80 91 {0, -1}
209 9 X 143 1 {0, -1}
263 8 X 209 163 {0, -1}
300 7 X 263 244 {0, -1}
314 6 X 275 300 {0, -1}
334 5 X 313 314 {0, -1}
344 4 X 332 334 {0, -1}
65 11 X 1 35 {0, -1}
131 10 X 65 1 {0, -1}
169 9 X 1 131 {0, -1}
221 8 X 1 169 {0, -1}
132 10 X 65 68 {0, -1}
170 9 X 1 132 {0, -1}
229 8 X 170 169 {0, -1}
277 7 X 221 229 {0, -1}
340 4 X 1 277 {0, -1}
348 3 X 344 340 {0, -1}
352 2 X 350 348 {0, -1}
353 1 X 351 352 {0, -1}
