55
eyytxq mbkluv dtyzgh ojzebn txibnb aouzkz ggoafe zkxtpz fsjvar gkdgyy
1 7 8 3 9 6 10 2 4 5
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
6 9 X 3 1 {0, -1}
10 8 X 1 6 {0, -1}
4 10 X 2 1 {0, -1}
12 8 X 4 2 {0, -1}
20 7 X 10 12 {0, -1}
25 6 X 1 20 {0, -1}
36 5 X 25 1 {0, -1}
7 9 X 3 2 {0, -1}
17 7 X 6 7 {0, -1}
5 9 X 1 4 {0, -1}
13 8 X 5 7 {0, -1}
21 7 X 10 13 {0, -1}
32 6 X 17 21 {0, -1}
14 8 X 6 3 {0, -1}
18 7 X 6 14 {0, -1}
9 8 X 1 3 {0, -1}
19 7 X 10 9 {0, -1}
33 6 X 18 19 {0, -1}
42 5 X 32 33 {0, -1}
45 4 X 36 42 {0, -1}
8 8 X 1 2 {0, -1}
22 7 X 13 8 {0, -1}
27 6 X 1 22 {0, -1}
39 5 X 27 1 {0, -1}
11 8 X 1 7 {0, -1}
23 7 X 13 11 {0, -1}
28 6 X 1 23 {0, -1}
29 6 X 3 11 {0, -1}
41 5 X 28 29 {0, -1}
47 4 X 39 41 {0, -1}
51 3 X 45 47 {0, -1}
15 7 X 1 11 {0, -1}
30 6 X 15 11 {0, -1}
34 5 X 1 30 {0, -1}
43 4 X 1 34 {0, -1}
49 3 X 1 43 {0, -1}
53 2 X 51 49 {0, -1}
26 6 X 1 21 {0, -1}
24 6 X 1 19 {0, -1}
37 5 X 26 24 {0, -1}
38 5 X 26 33 {0, -1}
46 4 X 37 38 {0, -1}
40 5 X 28 1 {0, -1}
48 4 X 40 41 {0, -1}
52 3 X 46 48 {0, -1}
16 7 X 1 13 {0, -1}
31 6 X 16 13 {0, -1}
35 5 X 1 31 {0, -1}
44 4 X 1 35 {0, -1}
50 3 X 1 44 {0, -1}
54 2 X 52 50 {0, -1}
55 1 X 53 54 {0, -1}
