70
gbzxhc eraauv tqlljy eyvgsn zypsbb yiacin bfazko cpzryo ejygvv lgartz rzagii jvrpyv
8 1 11 5 9 12 4 2 6 7 10 3
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
4 12 X 2 1 {0, -1}
7 11 X 1 4 {0, -1}
12 10 X 7 1 {0, -1}
17 9 X 12 1 {0, -1}
26 8 X 1 17 {0, -1}
37 7 X 26 1 {0, -1}
44 6 X 1 37 {0, -1}
23 8 X 1 12 {0, -1}
36 7 X 23 1 {0, -1}
43 6 X 1 36 {0, -1}
53 5 X 44 43 {0, -1}
60 4 X 53 1 {0, -1}
3 12 X 1 2 {0, -1}
6 11 X 1 3 {0, -1}
11 10 X 6 1 {0, -1}
5 11 X 1 2 {0, -1}
8 10 X 5 1 {0, -1}
16 9 X 11 8 {0, -1}
25 8 X 1 16 {0, -1}
33 7 X 1 25 {0, -1}
41 6 X 1 33 {0, -1}
27 8 X 12 8 {0, -1}
38 7 X 27 25 {0, -1}
45 6 X 1 38 {0, -1}
52 5 X 41 45 {0, -1}
66 3 X 60 52 {0, -1}
14 9 X 1 5 {0, -1}
13 10 X 7 4 {0, -1}
18 9 X 13 1 {0, -1}
30 8 X 14 18 {0, -1}
9 10 X 5 2 {0, -1}
29 8 X 14 9 {0, -1}
39 7 X 30 29 {0, -1}
46 6 X 1 39 {0, -1}
28 8 X 14 2 {0, -1}
34 7 X 2 28 {0, -1}
42 6 X 1 34 {0, -1}
54 5 X 46 42 {0, -1}
64 3 X 1 54 {0, -1}
68 2 X 66 64 {0, -1}
20 8 X 1 4 {0, -1}
35 7 X 20 1 {0, -1}
51 6 X 35 37 {0, -1}
59 5 X 51 1 {0, -1}
63 4 X 59 1 {0, -1}
49 6 X 23 33 {0, -1}
57 5 X 49 1 {0, -1}
10 10 X 5 4 {0, -1}
22 8 X 1 10 {0, -1}
48 6 X 22 33 {0, -1}
56 5 X 48 1 {0, -1}
61 4 X 57 56 {0, -1}
67 3 X 63 61 {0, -1}
24 8 X 1 13 {0, -1}
50 6 X 24 39 {0, -1}
58 5 X 50 1 {0, -1}
21 8 X 1 9 {0, -1}
15 9 X 1 8 {0, -1}
32 8 X 15 18 {0, -1}
31 8 X 15 9 {0, -1}
40 7 X 32 31 {0, -1}
47 6 X 21 40 {0, -1}
19 8 X 1 2 {0, -1}
55 5 X 47 19 {0, -1}
62 4 X 58 55 {0, -1}
65 3 X 1 62 {0, -1}
69 2 X 67 65 {0, -1}
70 1 X 68 69 {0, -1}
