67
bbhmsd scwdtx zhruhj ucslqj mvypse ekwvaw otslso mqcghh nczwnt sieirw
2 3 10 4 1 9 8 5 6 7
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 1 2 {0, -1}
6 9 X 2 3 {0, -1}
15 8 X 6 3 {0, -1}
23 7 X 1 15 {0, -1}
10 8 X 1 3 {0, -1}
24 7 X 10 15 {0, -1}
41 6 X 23 24 {0, -1}
9 8 X 1 2 {0, -1}
19 7 X 1 9 {0, -1}
4 10 X 2 1 {0, -1}
7 9 X 2 4 {0, -1}
12 8 X 1 7 {0, -1}
27 7 X 12 7 {0, -1}
39 6 X 19 27 {0, -1}
53 5 X 41 39 {0, -1}
5 9 X 2 1 {0, -1}
11 8 X 1 5 {0, -1}
25 7 X 11 2 {0, -1}
36 6 X 5 25 {0, -1}
60 4 X 53 36 {0, -1}
43 5 X 15 1 {0, -1}
17 7 X 1 2 {0, -1}
29 6 X 1 17 {0, -1}
45 5 X 29 1 {0, -1}
55 4 X 43 45 {0, -1}
64 3 X 60 55 {0, -1}
18 7 X 1 5 {0, -1}
44 5 X 23 18 {0, -1}
14 8 X 5 2 {0, -1}
22 7 X 1 14 {0, -1}
35 6 X 5 22 {0, -1}
34 6 X 5 18 {0, -1}
50 5 X 35 34 {0, -1}
56 4 X 44 50 {0, -1}
37 6 X 15 23 {0, -1}
51 5 X 37 1 {0, -1}
33 6 X 1 22 {0, -1}
49 5 X 33 1 {0, -1}
58 4 X 51 49 {0, -1}
62 3 X 56 58 {0, -1}
66 2 X 64 62 {0, -1}
26 7 X 11 5 {0, -1}
38 6 X 18 26 {0, -1}
20 7 X 1 11 {0, -1}
40 6 X 20 26 {0, -1}
52 5 X 38 40 {0, -1}
8 9 X 4 1 {0, -1}
13 8 X 1 8 {0, -1}
16 8 X 8 5 {0, -1}
28 7 X 13 16 {0, -1}
42 6 X 28 26 {0, -1}
54 5 X 42 26 {0, -1}
59 4 X 52 54 {0, -1}
21 7 X 1 12 {0, -1}
32 6 X 1 21 {0, -1}
48 5 X 29 32 {0, -1}
30 6 X 1 19 {0, -1}
46 5 X 29 30 {0, -1}
57 4 X 48 46 {0, -1}
63 3 X 59 57 {0, -1}
31 6 X 1 20 {0, -1}
47 5 X 29 31 {0, -1}
61 3 X 20 47 {0, -1}
65 2 X 63 61 {0, -1}
67 1 X 66 65 {0, -1}
