37
frdzur wfnama fprbcd sjwvxv hboang wzpkmu urwhdr thpejz tdtcqs twiluz vsqahs scrxaw
9 2 3 4 8 11 12 5 1 6 10 7
3 13 1 -1 -1 {1}
2 13 0 -1 -1 {0}
4 12 X 3 2 {0, 1}
9 10 X 4 3 {0, 1}
18 8 X 9 3 {0, 1}
28 5 X 3 18 {0, 1}
6 11 X 3 4 {0, 1}
11 10 X 6 3 {0, 1}
17 9 X 11 9 {0, 1}
8 10 X 3 6 {0, 1}
15 9 X 3 8 {0, 1}
22 8 X 17 15 {0, 1}
21 8 X 17 8 {0, 1}
24 7 X 22 21 {0, 1}
20 8 X 17 3 {0, 1}
27 6 X 24 20 {0, 1}
7 11 X 4 3 {0, 1}
10 10 X 4 7 {0, 1}
16 9 X 4 10 {0, 1}
19 8 X 16 3 {0, 1}
23 7 X 18 19 {0, 1}
29 5 X 27 23 {0, 1}
31 4 X 28 29 {0, 1}
33 3 X 28 31 {0, 1}
1 13 -1 -1 -1 {-1}
5 11 X 1 3 {1, -1}
14 9 X 3 5 {1, -1}
26 6 X 5 14 {1, -1}
13 9 X 3 1 {1, -1}
25 6 X 1 13 {1, -1}
32 3 X 26 25 {1, -1}
36 2 X 33 32 {0, 1, -1}
12 9 X 1 5 {1, -1}
30 4 X 1 12 {1, -1}
34 3 X 30 1 {1, -1}
35 2 X 1 34 {1, -1}
37 1 X 36 35 {0, 1, -1}
