35
czsvmw mromez gktbfl omrqwa vnkaov mgltlo knrhkt pwtbzs
4 7 3 2 8 1 5 6
2 9 0 -1 -1 {0}
1 9 -1 -1 -1 {-1}
4 8 X 2 1 {0, -1}
6 7 X 2 4 {0, -1}
12 6 X 6 1 {0, -1}
9 7 X 4 1 {0, -1}
16 6 X 9 4 {0, -1}
24 5 X 16 6 {0, -1}
26 4 X 12 24 {0, -1}
23 5 X 16 4 {0, -1}
25 4 X 1 23 {0, -1}
30 3 X 26 25 {0, -1}
3 8 X 1 2 {0, -1}
7 7 X 3 1 {0, -1}
13 6 X 7 1 {0, -1}
18 5 X 1 13 {0, -1}
28 4 X 18 7 {0, -1}
31 3 X 28 1 {0, -1}
34 2 X 30 31 {0, -1}
19 5 X 4 2 {0, -1}
21 5 X 7 3 {0, -1}
5 7 X 2 1 {0, -1}
14 6 X 7 5 {0, -1}
8 7 X 3 2 {0, -1}
15 6 X 8 2 {0, -1}
22 5 X 14 15 {0, -1}
29 4 X 21 22 {0, -1}
11 6 X 3 7 {0, -1}
17 5 X 1 11 {0, -1}
10 6 X 3 4 {0, -1}
20 5 X 4 10 {0, -1}
27 4 X 17 20 {0, -1}
32 3 X 29 27 {0, -1}
33 2 X 19 32 {0, -1}
35 1 X 34 33 {0, -1}
