62
fhalnz gqkfti xlqszm xevoas mitepa uvzfrh rcybaw xkqhsn uhzcxm resqnm nbujds hvzqgs somqso xnuzxg
13 10 7 14 1 6 4 2 8 3 9 11 5 12
3 15 1 -1 -1 {1}
2 15 0 -1 -1 {0}
4 14 X 2 3 {0, 1}
7 13 X 4 3 {0, 1}
11 12 X 7 3 {0, 1}
26 9 X 11 3 {0, 1}
30 8 X 3 26 {0, 1}
5 13 X 3 2 {0, 1}
9 12 X 5 3 {0, 1}
13 11 X 3 9 {0, 1}
12 11 X 3 5 {0, 1}
18 10 X 13 12 {0, 1}
23 9 X 3 18 {0, 1}
38 7 X 30 23 {0, 1}
45 6 X 3 38 {0, 1}
53 5 X 3 45 {0, 1}
57 4 X 53 3 {0, 1}
16 10 X 3 11 {0, 1}
27 9 X 16 3 {0, 1}
31 8 X 3 27 {0, 1}
6 13 X 3 4 {0, 1}
10 12 X 6 3 {0, 1}
15 10 X 3 10 {0, 1}
21 9 X 3 15 {0, 1}
28 8 X 3 21 {0, 1}
39 7 X 31 28 {0, 1}
46 6 X 3 39 {0, 1}
54 5 X 3 46 {0, 1}
14 11 X 10 3 {0, 1}
17 10 X 3 14 {0, 1}
22 9 X 3 17 {0, 1}
29 8 X 3 22 {0, 1}
37 7 X 3 29 {0, 1}
44 6 X 3 37 {0, 1}
52 5 X 3 44 {0, 1}
58 4 X 54 52 {0, 1}
60 3 X 57 58 {0, 1}
35 7 X 3 23 {0, 1}
42 6 X 3 35 {0, 1}
50 5 X 3 42 {0, 1}
20 10 X 14 10 {0, 1}
25 9 X 3 20 {0, 1}
19 10 X 14 3 {0, 1}
24 9 X 3 19 {0, 1}
34 8 X 25 24 {0, 1}
41 7 X 34 3 {0, 1}
33 8 X 25 3 {0, 1}
32 8 X 23 3 {0, 1}
40 7 X 33 32 {0, 1}
48 6 X 41 40 {0, 1}
55 5 X 48 42 {0, 1}
56 4 X 50 55 {0, 1}
36 7 X 3 28 {0, 1}
43 6 X 3 36 {0, 1}
51 5 X 3 43 {0, 1}
59 3 X 56 51 {0, 1}
61 2 X 60 59 {0, 1}
1 15 -1 -1 -1 {-1}
8 12 X 1 3 {1, -1}
47 6 X 8 1 {1, -1}
49 5 X 1 47 {1, -1}
62 1 X 61 49 {0, 1, -1}
