495
dcwlnb eyydfr lbgabx uugqtc fruxhr lfaikn bgmrua zffexj huauft jvfaui btovjs xtlxcb jookhw kocgql fnpfns zeqmmw eddvmp dbnuxe
7 15 1 9 3 4 5 6 8 14 16 17 10 18 2 12 13 11
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
11 16 X 2 1 {0, -1}
19 15 X 1 11 {0, -1}
41 14 X 1 19 {0, -1}
104 13 X 41 1 {0, -1}
191 12 X 104 1 {0, -1}
287 11 X 191 1 {0, -1}
347 10 X 287 1 {0, -1}
361 9 X 1 347 {0, -1}
51 14 X 2 19 {0, -1}
111 13 X 51 1 {0, -1}
197 12 X 111 1 {0, -1}
289 11 X 197 1 {0, -1}
49 14 X 2 1 {0, -1}
109 13 X 49 1 {0, -1}
196 12 X 109 1 {0, -1}
288 11 X 196 1 {0, -1}
348 10 X 289 288 {0, -1}
362 9 X 1 348 {0, -1}
412 8 X 361 362 {0, -1}
81 13 X 1 41 {0, -1}
172 12 X 81 1 {0, -1}
249 11 X 172 1 {0, -1}
50 14 X 2 11 {0, -1}
141 12 X 41 50 {0, -1}
250 11 X 172 141 {0, -1}
318 10 X 249 250 {0, -1}
37 14 X 1 11 {0, -1}
99 13 X 37 1 {0, -1}
192 12 X 104 99 {0, -1}
221 11 X 1 192 {0, -1}
110 13 X 50 1 {0, -1}
193 12 X 104 110 {0, -1}
222 11 X 1 193 {0, -1}
301 10 X 221 222 {0, -1}
372 9 X 318 301 {0, -1}
86 13 X 1 51 {0, -1}
177 12 X 86 1 {0, -1}
261 11 X 177 1 {0, -1}
154 12 X 51 50 {0, -1}
263 11 X 177 154 {0, -1}
329 10 X 261 263 {0, -1}
198 12 X 111 110 {0, -1}
225 11 X 1 198 {0, -1}
379 9 X 329 225 {0, -1}
420 8 X 372 379 {0, -1}
450 7 X 412 420 {0, -1}
24 15 X 2 1 {0, -1}
62 14 X 24 1 {0, -1}
121 13 X 62 1 {0, -1}
205 12 X 121 1 {0, -1}
292 11 X 205 1 {0, -1}
353 9 X 1 292 {0, -1}
397 8 X 1 353 {0, -1}
3 18 X 1 2 {0, -1}
12 16 X 3 1 {0, -1}
20 15 X 1 12 {0, -1}
42 14 X 1 20 {0, -1}
82 13 X 1 42 {0, -1}
173 12 X 82 1 {0, -1}
252 11 X 173 1 {0, -1}
32 15 X 11 12 {0, -1}
45 14 X 1 32 {0, -1}
143 12 X 42 45 {0, -1}
253 11 X 173 143 {0, -1}
321 10 X 252 253 {0, -1}
105 13 X 42 1 {0, -1}
107 13 X 45 1 {0, -1}
194 12 X 105 107 {0, -1}
223 11 X 1 194 {0, -1}
374 9 X 321 223 {0, -1}
25 15 X 2 3 {0, -1}
65 14 X 25 20 {0, -1}
92 13 X 1 65 {0, -1}
183 12 X 92 1 {0, -1}
275 11 X 183 1 {0, -1}
4 18 X 2 1 {0, -1}
26 15 X 4 1 {0, -1}
67 14 X 26 20 {0, -1}
163 12 X 67 45 {0, -1}
276 11 X 183 163 {0, -1}
339 10 X 275 276 {0, -1}
123 13 X 67 1 {0, -1}
206 12 X 123 107 {0, -1}
229 11 X 1 206 {0, -1}
388 9 X 339 229 {0, -1}
422 8 X 374 388 {0, -1}
440 7 X 397 422 {0, -1}
466 6 X 450 440 {0, -1}
480 5 X 466 1 {0, -1}
398 8 X 1 362 {0, -1}
126 12 X 1 50 {0, -1}
208 11 X 1 126 {0, -1}
293 10 X 1 208 {0, -1}
129 12 X 1 99 {0, -1}
211 11 X 1 129 {0, -1}
133 12 X 1 110 {0, -1}
215 11 X 1 133 {0, -1}
298 10 X 211 215 {0, -1}
365 9 X 293 298 {0, -1}
413 8 X 365 379 {0, -1}
441 7 X 398 413 {0, -1}
460 6 X 441 1 {0, -1}
476 5 X 460 1 {0, -1}
488 4 X 480 476 {0, -1}
5 17 X 1 2 {0, -1}
14 16 X 5 1 {0, -1}
21 15 X 1 14 {0, -1}
43 14 X 1 21 {0, -1}
106 13 X 43 1 {0, -1}
38 14 X 1 14 {0, -1}
100 13 X 38 1 {0, -1}
195 12 X 106 100 {0, -1}
224 11 X 1 195 {0, -1}
352 9 X 1 224 {0, -1}
429 7 X 1 352 {0, -1}
453 6 X 429 1 {0, -1}
470 5 X 453 1 {0, -1}
54 14 X 5 21 {0, -1}
114 13 X 54 1 {0, -1}
200 12 X 114 1 {0, -1}
291 11 X 200 1 {0, -1}
52 14 X 5 1 {0, -1}
112 13 X 52 1 {0, -1}
199 12 X 112 1 {0, -1}
290 11 X 199 1 {0, -1}
349 10 X 291 290 {0, -1}
363 9 X 1 349 {0, -1}
399 8 X 1 363 {0, -1}
53 14 X 5 14 {0, -1}
127 12 X 1 53 {0, -1}
209 11 X 1 127 {0, -1}
294 10 X 1 209 {0, -1}
130 12 X 1 100 {0, -1}
212 11 X 1 130 {0, -1}
113 13 X 53 1 {0, -1}
134 12 X 1 113 {0, -1}
216 11 X 1 134 {0, -1}
299 10 X 212 216 {0, -1}
366 9 X 294 299 {0, -1}
88 13 X 1 54 {0, -1}
179 12 X 88 1 {0, -1}
267 11 X 179 1 {0, -1}
158 12 X 54 53 {0, -1}
269 11 X 179 158 {0, -1}
334 10 X 267 269 {0, -1}
201 12 X 114 113 {0, -1}
226 11 X 1 201 {0, -1}
383 9 X 334 226 {0, -1}
414 8 X 366 383 {0, -1}
442 7 X 399 414 {0, -1}
461 6 X 442 1 {0, -1}
477 5 X 461 1 {0, -1}
485 4 X 470 477 {0, -1}
492 3 X 488 485 {0, -1}
140 12 X 41 1 {0, -1}
232 11 X 140 1 {0, -1}
304 10 X 232 1 {0, -1}
357 9 X 1 304 {0, -1}
152 12 X 51 1 {0, -1}
236 11 X 152 1 {0, -1}
308 10 X 236 1 {0, -1}
407 8 X 357 308 {0, -1}
317 10 X 249 1 {0, -1}
7 17 X 2 1 {0, -1}
16 16 X 7 1 {0, -1}
