29
xalrji cwydxi ffsbna epmubn utabbd ezjvgj epiear kpjvtd
8 4 3 7 2 6 1 5
2 9 0 -1 -1 {0}
3 9 1 -1 -1 {1}
5 8 X 2 3 {0, 1}
11 7 X 5 3 {0, 1}
16 6 X 11 3 {0, 1}
20 5 X 16 3 {0, 1}
25 3 X 20 3 {0, 1}
10 7 X 5 2 {0, 1}
15 6 X 10 5 {0, 1}
19 5 X 15 10 {0, 1}
23 4 X 19 10 {0, 1}
8 7 X 3 2 {0, 1}
13 6 X 8 3 {0, 1}
26 3 X 23 13 {0, 1}
28 2 X 25 26 {0, 1}
1 9 -1 -1 -1 {-1}
4 8 X 1 3 {1, -1}
9 7 X 4 3 {1, -1}
14 6 X 9 3 {1, -1}
7 7 X 1 4 {1, -1}
6 7 X 1 3 {1, -1}
12 6 X 7 6 {1, -1}
18 5 X 14 12 {1, -1}
22 4 X 18 3 {1, -1}
24 3 X 9 22 {1, -1}
17 5 X 14 3 {1, -1}
21 4 X 17 3 {1, -1}
27 2 X 24 21 {1, -1}
29 1 X 28 27 {0, 1, -1}
