33
sshxob mxhunk dodseh qgnryd tjnzpo mgjhpu rwerfg yhgcwu ywitpm vzxqup
9 10 4 8 1 5 3 2 6 7
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
3 10 X 2 1 {0, -1}
5 9 X 1 3 {0, -1}
8 8 X 5 1 {0, -1}
19 5 X 1 8 {0, -1}
10 7 X 8 1 {0, -1}
16 6 X 1 10 {0, -1}
20 5 X 1 16 {0, -1}
26 4 X 19 20 {0, -1}
24 4 X 1 16 {0, -1}
29 3 X 26 24 {0, -1}
31 2 X 29 1 {0, -1}
14 6 X 1 8 {0, -1}
6 8 X 3 1 {0, -1}
11 7 X 8 6 {0, -1}
18 6 X 11 8 {0, -1}
21 5 X 14 18 {0, -1}
4 9 X 1 2 {0, -1}
7 8 X 4 1 {0, -1}
12 7 X 8 7 {0, -1}
17 6 X 1 12 {0, -1}
23 5 X 17 14 {0, -1}
27 4 X 21 23 {0, -1}
9 7 X 5 7 {0, -1}
15 6 X 1 9 {0, -1}
13 6 X 1 3 {0, -1}
22 5 X 15 13 {0, -1}
25 4 X 1 22 {0, -1}
30 3 X 27 25 {0, -1}
28 3 X 1 25 {0, -1}
32 2 X 30 28 {0, -1}
33 1 X 31 32 {0, -1}
