285
jmqpmf mknlyk dqmdda lppcrd petjdb lshrnu kzluxc cefxxf lzwyht ghkgqn ijnomd jbhghp giwzsh ucbetp pyvcxz kzsxgo
3 10 9 6 8 13 15 7 16 5 1 4 12 14 2 11
1 17 -1 -1 -1 {-1}
2 17 0 -1 -1 {0}
4 16 X 2 1 {0, -1}
10 15 X 4 1 {0, -1}
25 14 X 10 1 {0, -1}
30 13 X 1 25 {0, -1}
70 12 X 30 1 {0, -1}
66 12 X 25 1 {0, -1}
104 11 X 70 66 {0, -1}
3 16 X 1 2 {0, -1}
11 14 X 1 3 {0, -1}
39 12 X 1 11 {0, -1}
147 10 X 104 39 {0, -1}
173 9 X 147 1 {0, -1}
207 8 X 1 173 {0, -1}
229 7 X 1 207 {0, -1}
7 15 X 1 4 {0, -1}
22 14 X 7 1 {0, -1}
16 14 X 4 1 {0, -1}
35 13 X 22 16 {0, -1}
6 15 X 1 3 {0, -1}
12 14 X 1 6 {0, -1}
74 12 X 35 12 {0, -1}
54 12 X 16 12 {0, -1}
107 11 X 74 54 {0, -1}
151 10 X 107 54 {0, -1}
176 9 X 151 1 {0, -1}
210 8 X 1 176 {0, -1}
40 12 X 1 12 {0, -1}
149 10 X 107 40 {0, -1}
174 9 X 149 1 {0, -1}
208 8 X 1 174 {0, -1}
234 7 X 210 208 {0, -1}
261 6 X 229 234 {0, -1}
108 10 X 1 11 {0, -1}
156 9 X 108 1 {0, -1}
191 8 X 1 156 {0, -1}
222 7 X 1 191 {0, -1}
5 15 X 1 2 {0, -1}
23 14 X 7 5 {0, -1}
65 12 X 23 12 {0, -1}
17 14 X 4 2 {0, -1}
56 12 X 17 12 {0, -1}
117 10 X 65 56 {0, -1}
164 9 X 117 1 {0, -1}
199 8 X 1 164 {0, -1}
50 12 X 11 12 {0, -1}
116 10 X 65 50 {0, -1}
163 9 X 116 1 {0, -1}
198 8 X 1 163 {0, -1}
233 7 X 199 198 {0, -1}
254 6 X 222 233 {0, -1}
273 5 X 261 254 {0, -1}
9 15 X 3 1 {0, -1}
13 14 X 1 9 {0, -1}
28 13 X 1 13 {0, -1}
44 12 X 1 28 {0, -1}
41 12 X 1 13 {0, -1}
90 11 X 44 41 {0, -1}
134 10 X 90 39 {0, -1}
167 9 X 134 1 {0, -1}
202 8 X 1 167 {0, -1}
226 7 X 1 202 {0, -1}
109 10 X 1 40 {0, -1}
157 9 X 109 1 {0, -1}
192 8 X 1 157 {0, -1}
258 6 X 226 192 {0, -1}
49 12 X 7 1 {0, -1}
55 12 X 17 11 {0, -1}
114 10 X 49 55 {0, -1}
161 9 X 114 1 {0, -1}
196 8 X 1 161 {0, -1}
225 7 X 1 196 {0, -1}
115 10 X 49 56 {0, -1}
162 9 X 115 1 {0, -1}
197 8 X 1 162 {0, -1}
257 6 X 225 197 {0, -1}
269 5 X 258 257 {0, -1}
279 4 X 273 269 {0, -1}
53 12 X 16 1 {0, -1}
150 10 X 107 53 {0, -1}
175 9 X 150 1 {0, -1}
209 8 X 1 175 {0, -1}
242 6 X 1 209 {0, -1}
8 15 X 2 1 {0, -1}
18 14 X 4 8 {0, -1}
57 12 X 18 1 {0, -1}
118 10 X 65 57 {0, -1}
165 9 X 118 1 {0, -1}
200 8 X 1 165 {0, -1}
240 6 X 1 200 {0, -1}
263 5 X 242 240 {0, -1}
113 10 X 40 1 {0, -1}
160 9 X 113 1 {0, -1}
195 8 X 1 160 {0, -1}
239 6 X 1 195 {0, -1}
26 14 X 10 8 {0, -1}
67 12 X 26 1 {0, -1}
119 10 X 65 67 {0, -1}
166 9 X 119 1 {0, -1}
201 8 X 1 166 {0, -1}
241 6 X 1 201 {0, -1}
262 5 X 239 241 {0, -1}
274 4 X 263 262 {0, -1}
282 3 X 279 274 {0, -1}
284 2 X 282 1 {0, -1}
24 14 X 8 1 {0, -1}
29 13 X 1 24 {0, -1}
69 12 X 29 1 {0, -1}
103 11 X 69 66 {0, -1}
14 14 X 3 1 {0, -1}
52 12 X 14 3 {0, -1}
96 11 X 52 39 {0, -1}
146 10 X 103 96 {0, -1}
37 12 X 1 3 {0, -1}
85 11 X 37 39 {0, -1}
112 10 X 1 85 {0, -1}
172 9 X 146 112 {0, -1}
206 8 X 1 172 {0, -1}
228 7 X 1 206 {0, -1}
19 14 X 5 1 {0, -1}
58 12 X 19 6 {0, -1}
63 12 X 22 12 {0, -1}
98 11 X 58 63 {0, -1}
38 12 X 1 6 {0, -1}
87 11 X 38 40 {0, -1}
155 9 X 98 87 {0, -1}
190 8 X 1 155 {0, -1}
62 12 X 22 1 {0, -1}
97 11 X 58 62 {0, -1}
21 14 X 6 1 {0, -1}
61 12 X 21 6 {0, -1}
101 11 X 61 40 {0, -1}
141 10 X 97 101 {0, -1}
86 11 X 38 1 {0, -1}
129 10 X 86 87 {0, -1}
170 9 X 141 129 {0, -1}
205 8 X 1 170 {0, -1}
232 7 X 190 205 {0, -1}
260 6 X 228 232 {0, -1}
80 11 X 3 11 {0, -1}
111 10 X 1 80 {0, -1}
47 12 X 5 1 {0, -1}
64 12 X 23 1 {0, -1}
93 11 X 47 64 {0, -1}
136 10 X 93 80 {0, -1}
159 9 X 111 136 {0, -1}
194 8 X 1 159 {0, -1}
224 7 X 1 194 {0, -1}
48 12 X 5 6 {0, -1}
95 11 X 48 65 {0, -1}
178 8 X 1 95 {0, -1}
