23
qkztxz ossmwc gqyhlp zghgbo llwoer szutbe uagooi fftjzo
5 1 8 3 2 7 4 6
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
3 8 X 2 1 {0, -1}
4 7 X 3 1 {0, -1}
7 6 X 1 4 {0, -1}
9 5 X 3 7 {0, -1}
14 4 X 7 9 {0, -1}
6 6 X 1 3 {0, -1}
11 5 X 6 7 {0, -1}
15 4 X 7 11 {0, -1}
19 3 X 14 15 {0, -1}
21 2 X 7 19 {0, -1}
12 5 X 7 1 {0, -1}
17 4 X 12 1 {0, -1}
10 5 X 6 1 {0, -1}
16 4 X 10 1 {0, -1}
20 3 X 17 16 {0, -1}
5 7 X 3 2 {0, -1}
8 6 X 1 5 {0, -1}
13 4 X 6 8 {0, -1}
18 3 X 1 13 {0, -1}
22 2 X 20 18 {0, -1}
23 1 X 21 22 {0, -1}
