45
vwzrut yzdyjm jvvyxk gmxllu gluxmh zyveyo mlkgeg qtbxgs mrlbdl vgyxav
1 4 2 9 10 7 6 3 5 8
2 11 0 -1 -1 {0}
1 11 -1 -1 -1 {-1}
4 9 X 1 2 {0, -1}
9 8 X 2 4 {0, -1}
3 10 X 1 2 {0, -1}
5 9 X 1 3 {0, -1}
8 8 X 1 5 {0, -1}
21 7 X 9 8 {0, -1}
16 7 X 4 8 {0, -1}
31 5 X 21 16 {0, -1}
37 4 X 31 8 {0, -1}
6 9 X 3 2 {0, -1}
12 8 X 6 4 {0, -1}
22 7 X 9 12 {0, -1}
27 6 X 22 9 {0, -1}
11 8 X 4 6 {0, -1}
18 7 X 4 11 {0, -1}
10 8 X 4 2 {0, -1}
17 7 X 4 10 {0, -1}
25 6 X 18 17 {0, -1}
34 5 X 27 25 {0, -1}
15 7 X 2 6 {0, -1}
23 6 X 15 2 {0, -1}
39 4 X 34 23 {0, -1}
42 3 X 37 39 {0, -1}
14 7 X 1 8 {0, -1}
7 8 X 1 3 {0, -1}
30 5 X 14 7 {0, -1}
36 4 X 14 30 {0, -1}
13 7 X 1 4 {0, -1}
29 5 X 13 3 {0, -1}
35 4 X 13 29 {0, -1}
41 3 X 36 35 {0, -1}
44 2 X 42 41 {0, -1}
28 5 X 1 8 {0, -1}
24 6 X 18 2 {0, -1}
33 5 X 27 24 {0, -1}
20 7 X 9 6 {0, -1}
19 7 X 9 2 {0, -1}
26 6 X 20 19 {0, -1}
32 5 X 26 23 {0, -1}
38 4 X 33 32 {0, -1}
40 3 X 28 38 {0, -1}
43 2 X 40 41 {0, -1}
45 1 X 44 43 {0, -1}
