54
hhwgwq jangqg arspvk aztljt zmrkpk cbhirq dylfxt eoyukf atdvno cuaqzw
1 10 2 9 3 5 7 4 6 8
1 11 -1 -1 -1 {-1}
2 11 0 -1 -1 {0}
4 10 X 2 1 {0, -1}
6 9 X 1 4 {0, -1}
5 9 X 1 2 {0, -1}
12 8 X 5 6 {0, -1}
21 7 X 6 12 {0, -1}
9 8 X 1 6 {0, -1}
20 7 X 6 9 {0, -1}
32 6 X 21 20 {0, -1}
18 7 X 6 5 {0, -1}
8 8 X 1 5 {0, -1}
19 7 X 6 8 {0, -1}
31 6 X 18 19 {0, -1}
41 5 X 32 31 {0, -1}
16 7 X 5 8 {0, -1}
29 6 X 16 19 {0, -1}
36 5 X 1 29 {0, -1}
46 4 X 41 36 {0, -1}
3 10 X 1 2 {0, -1}
7 9 X 3 2 {0, -1}
11 8 X 3 7 {0, -1}
17 7 X 5 11 {0, -1}
13 8 X 6 1 {0, -1}
24 7 X 13 1 {0, -1}
30 6 X 17 24 {0, -1}
37 5 X 1 30 {0, -1}
47 4 X 41 37 {0, -1}
51 3 X 46 47 {0, -1}
15 7 X 2 8 {0, -1}
25 6 X 2 15 {0, -1}
26 6 X 5 16 {0, -1}
39 5 X 25 26 {0, -1}
22 7 X 7 8 {0, -1}
34 5 X 1 22 {0, -1}
43 4 X 39 34 {0, -1}
48 3 X 43 1 {0, -1}
53 2 X 51 48 {0, -1}
14 7 X 1 9 {0, -1}
28 6 X 14 1 {0, -1}
40 5 X 28 9 {0, -1}
10 8 X 1 7 {0, -1}
23 7 X 10 8 {0, -1}
33 6 X 23 9 {0, -1}
38 5 X 1 33 {0, -1}
45 4 X 40 38 {0, -1}
27 6 X 10 14 {0, -1}
35 5 X 1 27 {0, -1}
44 4 X 40 35 {0, -1}
50 3 X 45 44 {0, -1}
42 4 X 1 35 {0, -1}
49 3 X 45 42 {0, -1}
52 2 X 50 49 {0, -1}
54 1 X 53 52 {0, -1}
