92
wzakyp qpmwhh osrzvw snzqtu ztnfwf nztyng ybuifu kdihgj viajmc zjhkwe golqql atpqnp chizrn lkrflv
7 3 12 4 14 11 6 9 2 1 5 10 13 8
3 15 1 -1 -1 {1}
2 15 0 -1 -1 {0}
6 13 X 2 3 {0, 1}
5 14 X 3 2 {0, 1}
8 13 X 5 3 {0, 1}
13 12 X 6 8 {0, 1}
26 10 X 13 3 {0, 1}
35 9 X 3 26 {0, 1}
12 12 X 6 3 {0, 1}
24 10 X 12 3 {0, 1}
34 9 X 3 24 {0, 1}
61 7 X 35 34 {0, 1}
72 6 X 61 34 {0, 1}
80 5 X 72 3 {0, 1}
11 12 X 3 8 {0, 1}
20 11 X 11 13 {0, 1}
30 10 X 20 3 {0, 1}
37 9 X 3 30 {0, 1}
23 10 X 11 3 {0, 1}
19 11 X 3 13 {0, 1}
31 10 X 20 19 {0, 1}
39 9 X 23 31 {0, 1}
54 8 X 37 39 {0, 1}
18 11 X 3 11 {0, 1}
22 10 X 3 18 {0, 1}
33 9 X 3 22 {0, 1}
47 8 X 3 33 {0, 1}
66 7 X 54 47 {0, 1}
40 9 X 24 26 {0, 1}
9 12 X 2 5 {0, 1}
16 11 X 3 9 {0, 1}
27 10 X 13 16 {0, 1}
41 9 X 26 27 {0, 1}
57 8 X 40 41 {0, 1}
4 14 X 2 3 {0, 1}
7 13 X 4 3 {0, 1}
14 12 X 7 3 {0, 1}
28 10 X 14 3 {0, 1}
42 9 X 28 24 {0, 1}
10 12 X 3 5 {0, 1}
17 11 X 3 10 {0, 1}
25 10 X 12 17 {0, 1}
43 9 X 28 25 {0, 1}
58 8 X 42 43 {0, 1}
69 7 X 57 58 {0, 1}
75 6 X 66 69 {0, 1}
85 4 X 80 75 {0, 1}
60 7 X 3 47 {0, 1}
21 10 X 3 17 {0, 1}
32 9 X 3 21 {0, 1}
46 8 X 3 32 {0, 1}
59 7 X 3 46 {0, 1}
71 6 X 60 59 {0, 1}
79 5 X 71 3 {0, 1}
83 4 X 3 79 {0, 1}
88 3 X 85 83 {0, 1}
52 8 X 35 3 {0, 1}
51 8 X 34 3 {0, 1}
64 7 X 52 51 {0, 1}
74 6 X 64 3 {0, 1}
49 8 X 24 3 {0, 1}
63 7 X 51 49 {0, 1}
73 6 X 63 3 {0, 1}
81 5 X 74 73 {0, 1}
55 8 X 40 3 {0, 1}
67 7 X 55 49 {0, 1}
76 6 X 67 3 {0, 1}
29 10 X 18 3 {0, 1}
56 8 X 40 29 {0, 1}
38 9 X 23 3 {0, 1}
50 8 X 24 38 {0, 1}
68 7 X 56 50 {0, 1}
36 9 X 3 29 {0, 1}
53 8 X 36 29 {0, 1}
48 8 X 3 38 {0, 1}
65 7 X 53 48 {0, 1}
77 6 X 68 65 {0, 1}
82 5 X 76 77 {0, 1}
86 4 X 81 82 {0, 1}
1 15 -1 -1 -1 {-1}
44 8 X 3 1 {1, -1}
89 3 X 86 44 {0, 1, -1}
91 2 X 88 89 {0, 1, -1}
70 6 X 51 3 {0, 1}
78 5 X 70 73 {0, 1}
84 4 X 78 82 {0, 1}
15 11 X 1 3 {1, -1}
45 8 X 3 15 {1, -1}
62 7 X 45 3 {1, -1}
87 3 X 84 62 {0, 1, -1}
90 2 X 3 87 {0, 1, -1}
92 1 X 91 90 {0, 1, -1}
