81
khlykz xqurxg ghomaj liunng cunhte lfjzdy tjzewo xsnegy xyftuk gpndvx ycwdyu ucjslk
3 5 1 2 11 7 4 9 6 12 8 10
3 13 1 -1 -1 {1}
1 13 -1 -1 -1 {-1}
5 12 X 3 1 {1, -1}
63 6 X 5 1 {1, -1}
76 3 X 63 3 {1, -1}
13 10 X 1 3 {1, -1}
44 8 X 13 3 {1, -1}
2 13 0 -1 -1 {0}
6 12 X 3 2 {0, 1}
10 11 X 3 6 {0, 1}
4 12 X 2 3 {0, 1}
9 11 X 3 4 {0, 1}
29 9 X 10 9 {0, 1}
40 8 X 3 29 {0, 1}
8 11 X 3 2 {0, 1}
19 10 X 8 9 {0, 1}
30 9 X 10 19 {0, 1}
41 8 X 3 30 {0, 1}
58 7 X 40 41 {0, 1}
28 9 X 10 8 {0, 1}
39 8 X 3 28 {0, 1}
57 7 X 40 39 {0, 1}
66 6 X 58 57 {0, 1}
71 5 X 3 66 {0, 1}
24 9 X 3 9 {0, 1}
37 8 X 3 24 {0, 1}
20 10 X 9 3 {0, 1}
25 9 X 3 20 {0, 1}
48 8 X 25 24 {0, 1}
54 7 X 37 48 {0, 1}
69 5 X 3 54 {0, 1}
73 4 X 71 69 {0, 1}
75 3 X 44 73 {0, 1, -1}
79 2 X 76 75 {0, 1, -1}
14 10 X 1 5 {1, -1}
45 8 X 14 5 {1, -1}
64 6 X 45 1 {1, -1}
77 3 X 64 3 {1, -1}
15 10 X 3 10 {0, 1}
16 10 X 6 10 {0, 1}
34 9 X 15 16 {0, 1}
43 8 X 3 34 {0, 1}
7 11 X 2 3 {0, 1}
23 9 X 3 7 {0, 1}
47 8 X 23 34 {0, 1}
60 7 X 43 47 {0, 1}
33 9 X 15 6 {0, 1}
42 8 X 3 33 {0, 1}
46 8 X 23 33 {0, 1}
59 7 X 42 46 {0, 1}
67 6 X 60 59 {0, 1}
12 11 X 6 3 {0, 1}
31 9 X 12 3 {0, 1}
51 8 X 31 29 {0, 1}
22 10 X 12 3 {0, 1}
17 10 X 7 3 {0, 1}
36 9 X 22 17 {0, 1}
21 10 X 10 3 {0, 1}
18 10 X 8 3 {0, 1}
35 9 X 21 18 {0, 1}
53 8 X 36 35 {0, 1}
62 7 X 51 53 {0, 1}
26 9 X 6 9 {0, 1}
50 8 X 31 26 {0, 1}
32 9 X 12 7 {0, 1}
11 11 X 6 2 {0, 1}
27 9 X 6 11 {0, 1}
52 8 X 32 27 {0, 1}
61 7 X 50 52 {0, 1}
68 6 X 62 61 {0, 1}
72 5 X 67 68 {0, 1}
38 8 X 3 25 {0, 1}
56 7 X 38 35 {0, 1}
49 8 X 25 28 {0, 1}
55 7 X 37 49 {0, 1}
65 6 X 56 55 {0, 1}
70 5 X 3 65 {0, 1}
74 4 X 72 70 {0, 1}
78 3 X 64 74 {0, 1, -1}
80 2 X 77 78 {0, 1, -1}
81 1 X 79 80 {0, 1, -1}
