246
spfhge znjxik tkhxxm gigjqj bdpkvq yeqtkc gzwgdg wibqql hhzbsm ovitkt amdewi beihtt smpkhq zntjiw
3 13 12 14 8 7 5 2 6 9 11 1 4 10
3 15 1 -1 -1 {1}
2 15 0 -1 -1 {0}
7 14 X 3 2 {0, 1}
10 13 X 3 7 {0, 1}
24 12 X 10 3 {0, 1}
40 11 X 3 24 {0, 1}
28 11 X 3 10 {0, 1}
74 10 X 40 28 {0, 1}
47 10 X 3 28 {0, 1}
111 9 X 74 47 {0, 1}
8 13 X 3 2 {0, 1}
20 12 X 8 3 {0, 1}
36 11 X 3 20 {0, 1}
26 11 X 3 8 {0, 1}
67 10 X 36 26 {0, 1}
45 10 X 3 26 {0, 1}
106 9 X 67 45 {0, 1}
157 8 X 111 106 {0, 1}
194 6 X 157 3 {0, 1}
73 10 X 40 3 {0, 1}
110 9 X 73 3 {0, 1}
66 10 X 36 3 {0, 1}
105 9 X 66 3 {0, 1}
155 8 X 110 105 {0, 1}
164 7 X 3 155 {0, 1}
195 6 X 157 164 {0, 1}
218 5 X 194 195 {0, 1}
142 8 X 74 67 {0, 1}
191 6 X 142 3 {0, 1}
141 8 X 73 66 {0, 1}
160 7 X 3 141 {0, 1}
192 6 X 142 160 {0, 1}
217 5 X 191 192 {0, 1}
232 4 X 218 217 {0, 1}
5 14 X 2 3 {0, 1}
9 13 X 3 5 {0, 1}
22 12 X 9 3 {0, 1}
38 11 X 3 22 {0, 1}
27 11 X 3 9 {0, 1}
71 10 X 38 27 {0, 1}
46 10 X 3 27 {0, 1}
109 9 X 71 46 {0, 1}
114 8 X 3 109 {0, 1}
68 10 X 36 27 {0, 1}
108 9 X 68 3 {0, 1}
156 8 X 110 108 {0, 1}
168 7 X 114 156 {0, 1}
196 6 X 157 168 {0, 1}
219 5 X 194 196 {0, 1}
107 9 X 67 66 {0, 1}
143 8 X 74 107 {0, 1}
188 7 X 142 143 {0, 1}
193 6 X 142 188 {0, 1}
233 4 X 219 193 {0, 1}
240 3 X 232 233 {0, 1}
122 8 X 28 26 {0, 1}
23 12 X 9 8 {0, 1}
39 11 X 3 23 {0, 1}
50 10 X 3 39 {0, 1}
101 9 X 39 50 {0, 1}
127 8 X 28 101 {0, 1}
176 7 X 122 127 {0, 1}
205 6 X 176 3 {0, 1}
17 12 X 3 8 {0, 1}
33 11 X 3 17 {0, 1}
123 8 X 28 33 {0, 1}
173 7 X 122 123 {0, 1}
59 10 X 28 3 {0, 1}
63 10 X 33 3 {0, 1}
137 8 X 59 63 {0, 1}
158 7 X 3 137 {0, 1}
201 6 X 173 158 {0, 1}
226 5 X 205 201 {0, 1}
21 12 X 8 10 {0, 1}
37 11 X 3 21 {0, 1}
43 11 X 20 8 {0, 1}
134 8 X 37 43 {0, 1}
44 11 X 22 23 {0, 1}
55 10 X 22 44 {0, 1}
104 9 X 44 55 {0, 1}
135 8 X 37 104 {0, 1}
184 7 X 134 135 {0, 1}
212 6 X 184 3 {0, 1}
133 8 X 37 33 {0, 1}
183 7 X 134 133 {0, 1}
69 10 X 37 3 {0, 1}
139 8 X 69 63 {0, 1}
159 7 X 3 139 {0, 1}
211 6 X 183 159 {0, 1}
231 5 X 212 211 {0, 1}
236 4 X 226 231 {0, 1}
1 15 -1 -1 -1 {-1}
6 14 X 3 1 {1, -1}
