205
ebbdey alvwtl pkylcz oohzkl rttsri gxwncv eymayz qcjktz qegfmt fkphiv mmjspm dufyob gywaqv rziqwl mjobih eihfct uoxotk kiyzez
16 12 13 18 1 6 14 9 10 15 17 8 5 11 7 2 4 3
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
6 17 X 2 1 {0, -1}
12 16 X 1 6 {0, -1}
31 14 X 12 1 {0, -1}
22 15 X 12 1 {0, -1}
43 14 X 22 1 {0, -1}
63 13 X 31 43 {0, -1}
62 13 X 31 1 {0, -1}
82 12 X 63 62 {0, -1}
107 11 X 82 1 {0, -1}
124 10 X 1 107 {0, -1}
136 9 X 1 124 {0, -1}
155 8 X 1 136 {0, -1}
4 18 X 2 1 {0, -1}
8 17 X 4 1 {0, -1}
14 16 X 1 8 {0, -1}
34 14 X 14 1 {0, -1}
23 15 X 14 1 {0, -1}
45 14 X 23 1 {0, -1}
68 13 X 34 45 {0, -1}
67 13 X 34 1 {0, -1}
84 12 X 68 67 {0, -1}
109 11 X 84 1 {0, -1}
134 10 X 109 107 {0, -1}
143 9 X 1 134 {0, -1}
161 8 X 1 143 {0, -1}
173 7 X 155 161 {0, -1}
189 5 X 173 1 {0, -1}
195 4 X 1 189 {0, -1}
32 14 X 12 14 {0, -1}
44 14 X 22 23 {0, -1}
65 13 X 32 44 {0, -1}
64 13 X 32 1 {0, -1}
83 12 X 65 64 {0, -1}
108 11 X 83 1 {0, -1}
125 10 X 1 108 {0, -1}
137 9 X 1 125 {0, -1}
156 8 X 1 137 {0, -1}
54 13 X 14 23 {0, -1}
53 13 X 14 1 {0, -1}
78 12 X 54 53 {0, -1}
105 11 X 78 1 {0, -1}
133 10 X 105 108 {0, -1}
142 9 X 1 133 {0, -1}
160 8 X 1 142 {0, -1}
174 7 X 156 160 {0, -1}
94 11 X 53 1 {0, -1}
9 16 X 1 2 {0, -1}
29 14 X 9 14 {0, -1}
60 13 X 29 44 {0, -1}
59 13 X 29 1 {0, -1}
81 12 X 60 59 {0, -1}
28 14 X 9 1 {0, -1}
58 13 X 28 43 {0, -1}
57 13 X 28 1 {0, -1}
79 12 X 58 57 {0, -1}
106 11 X 81 79 {0, -1}
127 10 X 94 106 {0, -1}
138 9 X 1 127 {0, -1}
157 8 X 1 138 {0, -1}
132 10 X 105 106 {0, -1}
141 9 X 1 132 {0, -1}
159 8 X 1 141 {0, -1}
175 7 X 157 159 {0, -1}
186 6 X 174 175 {0, -1}
193 5 X 186 1 {0, -1}
197 4 X 1 193 {0, -1}
201 3 X 195 197 {0, -1}
203 2 X 201 1 {0, -1}
15 16 X 8 1 {0, -1}
24 15 X 15 1 {0, -1}
47 13 X 1 24 {0, -1}
77 12 X 47 1 {0, -1}
46 14 X 24 1 {0, -1}
75 13 X 46 1 {0, -1}
76 12 X 46 75 {0, -1}
104 11 X 77 76 {0, -1}
123 10 X 1 104 {0, -1}
152 9 X 123 1 {0, -1}
164 8 X 1 152 {0, -1}
177 7 X 164 1 {0, -1}
184 6 X 1 177 {0, -1}
191 5 X 184 1 {0, -1}
199 4 X 191 1 {0, -1}
88 11 X 47 46 {0, -1}
114 10 X 1 88 {0, -1}
148 9 X 114 1 {0, -1}
163 8 X 1 148 {0, -1}
176 7 X 163 1 {0, -1}
183 6 X 1 176 {0, -1}
190 5 X 183 1 {0, -1}
3 18 X 1 2 {0, -1}
7 17 X 3 1 {0, -1}
25 14 X 1 7 {0, -1}
48 13 X 1 25 {0, -1}
89 11 X 48 1 {0, -1}
115 10 X 1 89 {0, -1}
13 16 X 1 7 {0, -1}
27 14 X 1 13 {0, -1}
50 13 X 1 27 {0, -1}
91 11 X 50 1 {0, -1}
117 10 X 1 91 {0, -1}
149 9 X 115 117 {0, -1}
19 15 X 6 1 {0, -1}
20 15 X 8 1 {0, -1}
40 14 X 19 20 {0, -1}
87 11 X 40 1 {0, -1}
113 10 X 1 87 {0, -1}
100 11 X 65 1 {0, -1}
121 10 X 1 100 {0, -1}
147 9 X 113 121 {0, -1}
170 8 X 149 147 {0, -1}
135 9 X 1 117 {0, -1}
95 11 X 54 1 {0, -1}
129 10 X 95 100 {0, -1}
140 9 X 1 129 {0, -1}
168 8 X 135 140 {0, -1}
180 7 X 170 168 {0, -1}
55 13 X 20 1 {0, -1}
96 11 X 55 1 {0, -1}
18 15 X 2 1 {0, -1}
38 14 X 18 20 {0, -1}
72 13 X 38 40 {0, -1}
37 14 X 18 1 {0, -1}
39 14 X 19 1 {0, -1}
71 13 X 37 39 {0, -1}
102 11 X 72 71 {0, -1}
130 10 X 96 102 {0, -1}
98 11 X 60 58 {0, -1}
126 10 X 94 98 {0, -1}
153 9 X 130 126 {0, -1}
171 8 X 149 153 {0, -1}
128 10 X 95 98 {0, -1}
139 9 X 1 128 {0, -1}
167 8 X 135 139 {0, -1}
181 7 X 171 167 {0, -1}
188 6 X 180 181 {0, -1}
86 11 X 12 1 {0, -1}
112 10 X 1 86 {0, -1}
52 13 X 13 12 {0, -1}
93 11 X 52 1 {0, -1}
119 10 X 1 93 {0, -1}
146 9 X 112 119 {0, -1}
99 11 X 63 1 {0, -1}
120 10 X 1 99 {0, -1}
33 14 X 13 1 {0, -1}
66 13 X 33 43 {0, -1}
101 11 X 66 1 {0, -1}
122 10 X 1 101 {0, -1}
151 9 X 120 122 {0, -1}
169 8 X 146 151 {0, -1}
26 14 X 1 12 {0, -1}
49 13 X 1 26 {0, -1}
90 11 X 49 1 {0, -1}
116 10 X 1 90 {0, -1}
166 8 X 116 151 {0, -1}
179 7 X 169 166 {0, -1}
51 13 X 9 12 {0, -1}
92 11 X 51 1 {0, -1}
118 10 X 1 92 {0, -1}
150 9 X 118 1 {0, -1}
5 17 X 1 3 {0, -1}
11 16 X 1 5 {0, -1}
30 14 X 11 1 {0, -1}
61 13 X 30 1 {0, -1}
80 12 X 58 61 {0, -1}
110 10 X 1 80 {0, -1}
144 9 X 110 1 {0, -1}
172 8 X 150 144 {0, -1}
187 6 X 179 172 {0, -1}
194 5 X 188 187 {0, -1}
198 4 X 190 194 {0, -1}
202 3 X 199 198 {0, -1}
56 13 X 23 1 {0, -1}
97 11 X 56 1 {0, -1}
21 15 X 9 1 {0, -1}
42 14 X 21 23 {0, -1}
74 13 X 42 44 {0, -1}
41 14 X 21 1 {0, -1}
73 13 X 41 43 {0, -1}
103 11 X 74 73 {0, -1}
131 10 X 97 103 {0, -1}
154 9 X 131 126 {0, -1}
165 8 X 1 154 {0, -1}
158 8 X 1 139 {0, -1}
178 7 X 165 158 {0, -1}
185 6 X 1 178 {0, -1}
10 16 X 1 3 {0, -1}
16 15 X 1 10 {0, -1}
35 14 X 16 1 {0, -1}
69 13 X 35 1 {0, -1}
17 15 X 1 11 {0, -1}
36 14 X 17 1 {0, -1}
70 13 X 36 1 {0, -1}
85 12 X 69 70 {0, -1}
111 10 X 1 85 {0, -1}
145 9 X 110 111 {0, -1}
162 8 X 1 145 {0, -1}
182 6 X 1 162 {0, -1}
192 5 X 185 182 {0, -1}
196 4 X 1 192 {0, -1}
200 3 X 1 196 {0, -1}
204 2 X 202 200 {0, -1}
205 1 X 203 204 {0, -1}
