30
gepgzv dolbhf ryplxu uboqio rfwved lnnsvu zfjnhi crbbkx
4 6 5 1 3 8 7 2
1 9 -1 -1 -1 {-1}
2 9 0 -1 -1 {0}
4 7 X 2 1 {0, -1}
18 4 X 1 4 {0, -1}
3 8 X 2 1 {0, -1}
5 7 X 3 1 {0, -1}
9 6 X 5 1 {0, -1}
16 5 X 9 4 {0, -1}
19 4 X 1 16 {0, -1}
24 3 X 18 19 {0, -1}
12 5 X 1 4 {0, -1}
22 4 X 16 12 {0, -1}
26 3 X 22 12 {0, -1}
28 2 X 24 26 {0, -1}
10 6 X 5 3 {0, -1}
6 6 X 1 4 {0, -1}
17 5 X 10 6 {0, -1}
8 6 X 3 4 {0, -1}
13 5 X 1 8 {0, -1}
23 4 X 17 13 {0, -1}
27 3 X 23 13 {0, -1}
7 6 X 3 1 {0, -1}
11 6 X 5 4 {0, -1}
15 5 X 7 11 {0, -1}
14 5 X 1 11 {0, -1}
21 4 X 15 14 {0, -1}
20 4 X 14 13 {0, -1}
25 3 X 21 20 {0, -1}
29 2 X 27 25 {0, -1}
30 1 X 28 29 {0, -1}
