470
nrqjui qezsvc vvvlat fkwxkj xpaicz ueyaam bbeywn aygxth bhxmur moatnc ktebii gwydju honuub ublyab gmdgsq qxpmzy ezhgbo fvaxly
3 6 4 18 10 11 16 9 14 2 5 7 13 1 12 15 8 17
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
5 17 X 1 2 {0, -1}
14 16 X 5 1 {0, -1}
12 16 X 2 1 {0, -1}
64 14 X 14 12 {0, -1}
3 18 X 1 2 {0, -1}
6 17 X 1 3 {0, -1}
15 16 X 6 1 {0, -1}
13 16 X 3 1 {0, -1}
65 14 X 15 13 {0, -1}
121 13 X 64 65 {0, -1}
165 12 X 1 121 {0, -1}
96 13 X 1 65 {0, -1}
147 12 X 1 96 {0, -1}
229 11 X 165 147 {0, -1}
259 10 X 1 229 {0, -1}
317 9 X 1 259 {0, -1}
95 13 X 1 64 {0, -1}
146 12 X 1 95 {0, -1}
193 11 X 1 146 {0, -1}
178 12 X 65 121 {0, -1}
236 11 X 178 96 {0, -1}
289 10 X 193 236 {0, -1}
332 9 X 1 289 {0, -1}
396 7 X 317 332 {0, -1}
40 15 X 14 1 {0, -1}
81 14 X 40 1 {0, -1}
179 12 X 81 1 {0, -1}
198 11 X 1 179 {0, -1}
101 13 X 12 13 {0, -1}
203 11 X 101 121 {0, -1}
296 10 X 198 203 {0, -1}
175 12 X 13 101 {0, -1}
233 11 X 175 178 {0, -1}
260 10 X 1 233 {0, -1}
351 9 X 296 260 {0, -1}
399 7 X 351 1 {0, -1}
431 6 X 396 399 {0, -1}
249 10 X 1 147 {0, -1}
312 9 X 1 249 {0, -1}
44 14 X 1 13 {0, -1}
87 13 X 1 44 {0, -1}
140 12 X 1 87 {0, -1}
248 10 X 1 140 {0, -1}
311 9 X 1 248 {0, -1}
245 10 X 1 87 {0, -1}
308 9 X 1 245 {0, -1}
380 8 X 311 308 {0, -1}
394 7 X 312 380 {0, -1}
151 12 X 1 101 {0, -1}
218 11 X 151 165 {0, -1}
255 10 X 1 218 {0, -1}
378 8 X 255 351 {0, -1}
417 7 X 378 1 {0, -1}
429 6 X 394 417 {0, -1}
452 5 X 431 429 {0, -1}
286 10 X 193 147 {0, -1}
329 9 X 1 286 {0, -1}
285 10 X 193 96 {0, -1}
328 9 X 1 285 {0, -1}
383 8 X 329 328 {0, -1}
421 7 X 383 380 {0, -1}
137 12 X 1 64 {0, -1}
190 11 X 1 137 {0, -1}
279 10 X 190 218 {0, -1}
187 11 X 1 64 {0, -1}
270 10 X 187 203 {0, -1}
282 10 X 190 233 {0, -1}
340 9 X 270 282 {0, -1}
379 8 X 279 340 {0, -1}
418 7 X 379 1 {0, -1}
443 6 X 421 418 {0, -1}
451 5 X 1 443 {0, -1}
460 4 X 452 451 {0, -1}
17 16 X 6 3 {0, -1}
63 14 X 6 17 {0, -1}
18 16 X 6 5 {0, -1}
16 16 X 6 2 {0, -1}
66 14 X 18 16 {0, -1}
122 13 X 66 63 {0, -1}
177 12 X 63 122 {0, -1}
94 13 X 1 63 {0, -1}
235 11 X 177 94 {0, -1}
261 10 X 1 235 {0, -1}
318 9 X 1 261 {0, -1}
363 8 X 1 318 {0, -1}
138 12 X 1 66 {0, -1}
97 13 X 1 66 {0, -1}
148 12 X 1 97 {0, -1}
213 11 X 138 148 {0, -1}
299 10 X 213 235 {0, -1}
334 9 X 1 299 {0, -1}
370 8 X 1 334 {0, -1}
406 7 X 363 370 {0, -1}
242 10 X 1 6 {0, -1}
354 8 X 1 242 {0, -1}
400 7 X 354 1 {0, -1}
436 6 X 406 400 {0, -1}
84 13 X 1 6 {0, -1}
243 10 X 1 84 {0, -1}
306 9 X 1 243 {0, -1}
357 8 X 1 306 {0, -1}
43 14 X 1 6 {0, -1}
86 13 X 1 43 {0, -1}
244 10 X 1 86 {0, -1}
307 9 X 1 244 {0, -1}
358 8 X 1 307 {0, -1}
403 7 X 357 358 {0, -1}
433 6 X 403 400 {0, -1}
454 5 X 436 433 {0, -1}
265 10 X 148 94 {0, -1}
321 9 X 1 265 {0, -1}
366 8 X 1 321 {0, -1}
46 14 X 1 17 {0, -1}
89 13 X 1 46 {0, -1}
246 10 X 1 89 {0, -1}
309 9 X 1 246 {0, -1}
359 8 X 1 309 {0, -1}
410 7 X 366 359 {0, -1}
102 13 X 16 17 {0, -1}
176 12 X 17 102 {0, -1}
234 11 X 176 177 {0, -1}
262 10 X 138 234 {0, -1}
355 8 X 1 262 {0, -1}
401 7 X 355 1 {0, -1}
439 6 X 410 401 {0, -1}
448 5 X 1 439 {0, -1}
462 4 X 454 448 {0, -1}
466 3 X 460 462 {0, -1}
8 17 X 3 1 {0, -1}
21 16 X 8 1 {0, -1}
37 15 X 1 21 {0, -1}
58 14 X 1 37 {0, -1}
93 13 X 1 58 {0, -1}
145 12 X 1 93 {0, -1}
192 11 X 1 145 {0, -1}
7 17 X 2 1 {0, -1}
19 16 X 7 1 {0, -1}
35 15 X 1 19 {0, -1}
107 13 X 35 37 {0, -1}
155 12 X 1 107 {0, -1}
56 14 X 1 35 {0, -1}
115 13 X 56 58 {0, -1}
160 12 X 1 115 {0, -1}
222 11 X 155 160 {0, -1}
284 10 X 192 222 {0, -1}
393 7 X 284 1 {0, -1}
426 6 X 1 393 {0, -1}
28 15 X 1 12 {0, -1}
29 15 X 1 13 {0, -1}
105 13 X 28 29 {0, -1}
153 12 X 1 105 {0, -1}
30 15 X 1 14 {0, -1}
75 14 X 30 28 {0, -1}
31 15 X 1 15 {0, -1}
77 14 X 31 29 {0, -1}
127 13 X 75 77 {0, -1}
169 12 X 1 127 {0, -1}
220 11 X 153 169 {0, -1}
267 10 X 160 220 {0, -1}
392 7 X 267 1 {0, -1}
425 6 X 1 392 {0, -1}
444 5 X 1 425 {0, -1}
456 4 X 426 444 {0, -1}
305 9 X 1 145 {0, -1}
356 8 X 1 305 {0, -1}
402 7 X 356 1 {0, -1}
48 14 X 1 21 {0, -1}
90 13 X 1 48 {0, -1}
142 12 X 1 90 {0, -1}
85 13 X 1 21 {0, -1}
4 18 X 2 1 {0, -1}
9 17 X 4 1 {0, -1}
20 16 X 7 9 {0, -1}
42 15 X 19 20 {0, -1}
111 13 X 42 21 {0, -1}
180 12 X 85 111 {0, -1}
62 14 X 1 42 {0, -1}
120 13 X 62 48 {0, -1}
181 12 X 90 120 {0, -1}
237 11 X 180 181 {0, -1}
263 10 X 142 237 {0, -1}
319 9 X 1 263 {0, -1}
364 8 X 1 319 {0, -1}
407 7 X 364 1 {0, -1}
432 6 X 402 407 {0, -1}
25 15 X 1 6 {0, -1}
23 15 X 1 3 {0, -1}
70 14 X 25 23 {0, -1}
98 13 X 1 70 {0, -1}
149 12 X 1 98 {0, -1}
264 10 X 145 149 {0, -1}
320 9 X 1 264 {0, -1}
365 8 X 1 320 {0, -1}
408 7 X 365 1 {0, -1}
10 16 X 1 7 {0, -1}
26 15 X 1 10 {0, -1}
51 14 X 1 26 {0, -1}
11 16 X 1 8 {0, -1}
27 15 X 1 11 {0, -1}
52 14 X 1 27 {0, -1}
113 13 X 51 52 {0, -1}
158 12 X 1 113 {0, -1}
32 15 X 1 16 {0, -1}
33 15 X 1 17 {0, -1}
106 13 X 32 33 {0, -1}
154 12 X 1 106 {0, -1}
34 15 X 1 18 {0, -1}
79 14 X 34 32 {0, -1}
71 14 X 25 33 {0, -1}
129 13 X 79 71 {0, -1}
170 12 X 1 129 {0, -1}
221 11 X 154 170 {0, -1}
266 10 X 158 221 {0, -1}
36 15 X 1 20 {0, -1}
57 14 X 1 36 {0, -1}
116 13 X 57 58 {0, -1}
161 12 X 1 116 {0, -1}
22 15 X 1 2 {0, -1}
104 13 X 22 23 {0, -1}
152 12 X 1 104 {0, -1}
24 15 X 1 5 {0, -1}
67 14 X 24 22 {0, -1}
123 13 X 67 70 {0, -1}
166 12 X 1 123 {0, -1}
219 11 X 152 166 {0, -1}
268 10 X 161 219 {0, -1}
339 9 X 266 268 {0, -1}
373 8 X 1 339 {0, -1}
415 7 X 373 1 {0, -1}
437 6 X 408 415 {0, -1}
446 5 X 1 437 {0, -1}
458 4 X 432 446 {0, -1}
464 3 X 456 458 {0, -1}
468 2 X 466 464 {0, -1}
381 8 X 317 312 {0, -1}
288 10 X 193 229 {0, -1}
331 9 X 1 288 {0, -1}
188 11 X 1 95 {0, -1}
273 10 X 188 96 {0, -1}
324 9 X 1 273 {0, -1}
385 8 X 331 324 {0, -1}
419 7 X 381 385 {0, -1}
39 15 X 12 1 {0, -1}
109 13 X 39 1 {0, -1}
156 12 X 1 109 {0, -1}
131 13 X 81 1 {0, -1}
172 12 X 1 131 {0, -1}
223 11 X 156 172 {0, -1}
258 10 X 1 223 {0, -1}
338 9 X 258 255 {0, -1}
205 11 X 109 131 {0, -1}
252 10 X 1 205 {0, -1}
250 10 X 1 203 {0, -1}
337 9 X 252 250 {0, -1}
386 8 X 338 337 {0, -1}
196 11 X 1 172 {0, -1}
292 10 X 196 223 {0, -1}
346 9 X 292 279 {0, -1}
189 11 X 1 131 {0, -1}
275 10 X 189 205 {0, -1}
341 9 X 275 270 {0, -1}
387 8 X 346 341 {0, -1}
422 7 X 386 387 {0, -1}
441 6 X 419 422 {0, -1}
214 11 X 140 147 {0, -1}
287 10 X 193 214 {0, -1}
330 9 X 1 287 {0, -1}
201 11 X 87 96 {0, -1}
274 10 X 188 201 {0, -1}
325 9 X 1 274 {0, -1}
384 8 X 330 325 {0, -1}
395 7 X 312 384 {0, -1}
60 14 X 1 39 {0, -1}
118 13 X 60 1 {0, -1}
163 12 X 1 118 {0, -1}
227 11 X 163 172 {0, -1}
293 10 X 196 227 {0, -1}
72 14 X 28 12 {0, -1}
73 14 X 29 13 {0, -1}
125 13 X 72 73 {0, -1}
167 12 X 1 125 {0, -1}
230 11 X 167 165 {0, -1}
280 10 X 190 230 {0, -1}
347 9 X 293 280 {0, -1}
207 11 X 118 131 {0, -1}
276 10 X 189 207 {0, -1}
208 11 X 125 121 {0, -1}
271 10 X 187 208 {0, -1}
342 9 X 276 271 {0, -1}
388 8 X 347 342 {0, -1}
423 7 X 386 388 {0, -1}
430 6 X 395 423 {0, -1}
455 5 X 441 430 {0, -1}
382 8 X 329 324 {0, -1}
420 7 X 382 384 {0, -1}
82 14 X 40 39 {0, -1}
132 13 X 82 1 {0, -1}
173 12 X 1 132 {0, -1}
232 11 X 173 172 {0, -1}
294 10 X 196 232 {0, -1}
278 10 X 190 165 {0, -1}
349 9 X 294 278 {0, -1}
210 11 X 132 131 {0, -1}
277 10 X 189 210 {0, -1}
269 10 X 187 121 {0, -1}
344 9 X 277 269 {0, -1}
390 8 X 349 344 {0, -1}
74 14 X 30 12 {0, -1}
76 14 X 31 13 {0, -1}
126 13 X 74 76 {0, -1}
168 12 X 1 126 {0, -1}
231 11 X 168 165 {0, -1}
281 10 X 190 231 {0, -1}
348 9 X 293 281 {0, -1}
209 11 X 126 121 {0, -1}
272 10 X 187 209 {0, -1}
343 9 X 276 272 {0, -1}
389 8 X 348 343 {0, -1}
424 7 X 390 389 {0, -1}
442 6 X 420 424 {0, -1}
