62
cavoep liejrb dudbqz dpsfqs nrnuqu lymgkm nrywlt jyycwg mxsgwu plosds vuybuc xczsjc
8 6 9 2 12 5 4 1 11 3 10 7
2 13 0 -1 -1 {0}
3 13 1 -1 -1 {1}
4 12 X 2 3 {0, 1}
8 11 X 4 3 {0, 1}
13 10 X 8 3 {0, 1}
17 9 X 3 13 {0, 1}
27 8 X 13 17 {0, 1}
38 7 X 27 3 {0, 1}
6 11 X 2 3 {0, 1}
11 10 X 6 3 {0, 1}
26 8 X 13 11 {0, 1}
37 7 X 26 3 {0, 1}
47 6 X 37 27 {0, 1}
49 5 X 38 47 {0, 1}
16 9 X 3 11 {0, 1}
31 7 X 16 3 {0, 1}
30 7 X 11 3 {0, 1}
41 6 X 30 16 {0, 1}
48 5 X 31 41 {0, 1}
55 4 X 49 48 {0, 1}
58 3 X 55 3 {0, 1}
25 8 X 13 3 {0, 1}
36 7 X 25 3 {0, 1}
40 6 X 3 36 {0, 1}
5 12 X 3 2 {0, 1}
9 11 X 5 3 {0, 1}
14 10 X 9 3 {0, 1}
18 9 X 3 14 {0, 1}
22 8 X 3 18 {0, 1}
33 7 X 22 3 {0, 1}
43 6 X 33 25 {0, 1}
50 5 X 40 43 {0, 1}
32 7 X 18 3 {0, 1}
28 8 X 16 3 {0, 1}
39 7 X 28 3 {0, 1}
42 6 X 32 39 {0, 1}
56 4 X 50 42 {0, 1}
1 13 -1 -1 -1 {-1}
7 11 X 3 1 {1, -1}
15 9 X 3 7 {1, -1}
12 10 X 7 3 {1, -1}
19 9 X 12 7 {1, -1}
54 4 X 15 19 {1, -1}
59 3 X 56 54 {0, 1, -1}
61 2 X 58 59 {0, 1, -1}
10 10 X 5 3 {0, 1}
20 9 X 14 10 {0, 1}
24 8 X 10 20 {0, 1}
35 7 X 24 3 {0, 1}
29 7 X 10 3 {0, 1}
46 6 X 35 29 {0, 1}
45 6 X 35 10 {0, 1}
51 5 X 46 45 {0, 1}
53 4 X 3 51 {0, 1}
23 8 X 3 20 {0, 1}
34 7 X 23 3 {0, 1}
21 8 X 3 10 {0, 1}
44 6 X 34 21 {0, 1}
52 4 X 3 44 {0, 1}
57 3 X 53 52 {0, 1}
60 2 X 57 3 {0, 1}
62 1 X 61 60 {0, 1, -1}
