26
eqponb lpwvqa gryuvz yecjkj kmnhpx qehyvm rsuinp fsphuw
4 5 3 2 8 7 6 1
3 9 1 -1 -1 {1}
1 9 -1 -1 -1 {-1}
5 8 X 3 1 {1, -1}
7 7 X 5 3 {1, -1}
11 6 X 7 3 {1, -1}
15 5 X 11 3 {1, -1}
18 4 X 15 5 {1, -1}
2 9 0 -1 -1 {0}
4 8 X 2 1 {0, -1}
6 7 X 4 5 {0, 1, -1}
10 6 X 6 5 {0, 1, -1}
12 5 X 6 10 {0, 1, -1}
20 4 X 15 12 {0, 1, -1}
22 3 X 18 20 {0, 1, -1}
8 6 X 5 4 {0, 1, -1}
13 5 X 8 6 {0, 1, -1}
16 4 X 5 13 {0, 1, -1}
9 6 X 5 6 {0, 1, -1}
14 5 X 9 6 {0, 1, -1}
17 4 X 5 14 {0, 1, -1}
21 3 X 16 17 {0, 1, -1}
24 2 X 22 21 {0, 1, -1}
19 4 X 15 6 {0, 1, -1}
23 3 X 19 5 {0, 1, -1}
25 2 X 23 17 {0, 1, -1}
26 1 X 24 25 {0, 1, -1}
