36
iekurs rjuvps gfgyxr qjgfim vvhhia hxfewe zrgedr rtdssg tykxbv dtadvk
5 8 6 3 9 10 7 4 1 2
3 11 1 -1 -1 {1}
2 11 0 -1 -1 {0}
6 10 X 3 2 {0, 1}
12 8 X 3 6 {0, 1}
23 5 X 3 12 {0, 1}
28 4 X 3 23 {0, 1}
16 7 X 3 12 {0, 1}
10 9 X 6 3 {0, 1}
14 8 X 3 10 {0, 1}
17 7 X 3 14 {0, 1}
21 6 X 16 17 {0, 1}
24 5 X 3 21 {0, 1}
4 10 X 2 3 {0, 1}
8 9 X 4 3 {0, 1}
20 7 X 8 3 {0, 1}
22 6 X 20 3 {0, 1}
27 5 X 22 12 {0, 1}
29 4 X 24 27 {0, 1}
32 3 X 28 29 {0, 1}
31 3 X 3 28 {0, 1}
35 2 X 32 31 {0, 1}
1 11 -1 -1 -1 {-1}
7 9 X 1 3 {1, -1}
11 8 X 3 1 {1, -1}
18 7 X 7 11 {1, -1}
5 10 X 3 1 {1, -1}
9 9 X 5 1 {1, -1}
13 8 X 3 9 {1, -1}
19 7 X 7 13 {1, -1}
25 5 X 18 19 {1, -1}
15 8 X 7 1 {1, -1}
26 5 X 19 15 {1, -1}
30 4 X 25 26 {1, -1}
33 3 X 30 1 {1, -1}
34 2 X 1 33 {1, -1}
36 1 X 35 34 {0, 1, -1}
