151
ccczll zggmzu lnuxih ioxcja twjjba nbpeem hguwxp vlrlek yanuni acvqvt vyuqyl xksuuf jwhmtt pewnni
13 3 7 12 6 2 9 1 14 8 10 11 4 5
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
3 14 X 1 2 {0, -1}
14 11 X 1 3 {0, -1}
32 10 X 3 14 {0, -1}
48 9 X 1 32 {0, -1}
89 7 X 48 1 {0, -1}
116 6 X 89 1 {0, -1}
41 9 X 1 3 {0, -1}
66 8 X 3 41 {0, -1}
80 7 X 1 66 {0, -1}
106 6 X 1 80 {0, -1}
132 5 X 116 106 {0, -1}
83 7 X 3 1 {0, -1}
109 6 X 1 83 {0, -1}
100 6 X 1 3 {0, -1}
126 5 X 109 100 {0, -1}
141 4 X 132 126 {0, -1}
6 13 X 1 3 {0, -1}
11 12 X 3 6 {0, -1}
30 10 X 3 11 {0, -1}
47 9 X 1 30 {0, -1}
87 7 X 47 1 {0, -1}
5 13 X 1 2 {0, -1}
10 12 X 2 5 {0, -1}
21 11 X 11 10 {0, -1}
27 10 X 2 21 {0, -1}
69 8 X 27 47 {0, -1}
94 7 X 69 1 {0, -1}
114 6 X 87 94 {0, -1}
29 10 X 3 6 {0, -1}
46 9 X 1 29 {0, -1}
88 7 X 47 46 {0, -1}
25 10 X 2 10 {0, -1}
68 8 X 25 47 {0, -1}
70 8 X 29 46 {0, -1}
93 7 X 68 70 {0, -1}
115 6 X 88 93 {0, -1}
131 5 X 114 115 {0, -1}
60 8 X 1 6 {0, -1}
91 7 X 60 1 {0, -1}
110 6 X 1 91 {0, -1}
19 11 X 6 1 {0, -1}
53 9 X 19 6 {0, -1}
65 8 X 1 53 {0, -1}
92 7 X 60 65 {0, -1}
118 6 X 92 60 {0, -1}
129 5 X 110 118 {0, -1}
140 4 X 131 129 {0, -1}
148 3 X 141 140 {0, -1}
22 10 X 1 3 {0, -1}
42 9 X 1 22 {0, -1}
67 8 X 22 42 {0, -1}
81 7 X 1 67 {0, -1}
107 6 X 1 81 {0, -1}
123 5 X 1 107 {0, -1}
102 6 X 1 22 {0, -1}
127 5 X 109 102 {0, -1}
138 4 X 123 127 {0, -1}
9 13 X 3 1 {0, -1}
13 12 X 9 1 {0, -1}
34 10 X 9 13 {0, -1}
49 9 X 1 34 {0, -1}
77 8 X 47 49 {0, -1}
98 7 X 77 1 {0, -1}
17 11 X 3 2 {0, -1}
39 10 X 17 21 {0, -1}
74 8 X 39 47 {0, -1}
96 7 X 74 1 {0, -1}
121 6 X 98 96 {0, -1}
23 10 X 1 6 {0, -1}
43 9 X 1 23 {0, -1}
62 8 X 1 43 {0, -1}
105 6 X 1 62 {0, -1}
135 5 X 121 105 {0, -1}
104 6 X 1 60 {0, -1}
128 5 X 110 104 {0, -1}
144 4 X 135 128 {0, -1}
146 3 X 138 144 {0, -1}
150 2 X 148 146 {0, -1}
12 12 X 6 1 {0, -1}
35 10 X 12 1 {0, -1}
50 9 X 1 35 {0, -1}
72 8 X 35 50 {0, -1}
82 7 X 1 72 {0, -1}
108 6 X 1 82 {0, -1}
125 5 X 108 1 {0, -1}
55 9 X 30 1 {0, -1}
78 8 X 55 1 {0, -1}
99 7 X 78 1 {0, -1}
122 6 X 99 6 {0, -1}
101 6 X 1 6 {0, -1}
136 5 X 122 101 {0, -1}
139 4 X 125 136 {0, -1}
24 10 X 2 1 {0, -1}
44 9 X 1 24 {0, -1}
28 10 X 3 1 {0, -1}
54 9 X 28 24 {0, -1}
75 8 X 44 54 {0, -1}
26 10 X 2 12 {0, -1}
45 9 X 1 26 {0, -1}
31 10 X 3 12 {0, -1}
56 9 X 31 26 {0, -1}
76 8 X 45 56 {0, -1}
97 7 X 75 76 {0, -1}
84 7 X 24 26 {0, -1}
120 6 X 97 84 {0, -1}
15 11 X 2 1 {0, -1}
36 10 X 15 1 {0, -1}
57 9 X 36 24 {0, -1}
16 11 X 2 3 {0, -1}
37 10 X 16 1 {0, -1}
58 9 X 37 24 {0, -1}
79 8 X 57 58 {0, -1}
85 7 X 24 79 {0, -1}
113 6 X 85 24 {0, -1}
134 5 X 120 113 {0, -1}
51 9 X 6 5 {0, -1}
63 8 X 1 51 {0, -1}
59 8 X 1 5 {0, -1}
112 6 X 63 59 {0, -1}
18 11 X 5 6 {0, -1}
52 9 X 18 5 {0, -1}
64 8 X 1 52 {0, -1}
90 7 X 59 64 {0, -1}
117 6 X 90 59 {0, -1}
130 5 X 112 117 {0, -1}
143 4 X 134 130 {0, -1}
147 3 X 139 143 {0, -1}
103 6 X 1 23 {0, -1}
124 5 X 101 103 {0, -1}
137 4 X 1 124 {0, -1}
38 10 X 17 1 {0, -1}
4 14 X 2 1 {0, -1}
8 13 X 2 4 {0, -1}
20 11 X 9 8 {0, -1}
40 10 X 20 1 {0, -1}
73 8 X 38 40 {0, -1}
33 10 X 9 1 {0, -1}
71 8 X 31 33 {0, -1}
95 7 X 73 71 {0, -1}
86 7 X 38 31 {0, -1}
119 6 X 95 86 {0, -1}
133 5 X 119 1 {0, -1}
7 13 X 1 4 {0, -1}
61 8 X 1 7 {0, -1}
111 6 X 61 59 {0, -1}
142 4 X 133 111 {0, -1}
145 3 X 137 142 {0, -1}
149 2 X 147 145 {0, -1}
151 1 X 150 149 {0, -1}
