93
ymvyjf kukmca mfnzuy svgsfi aacapw urledu fqzuqs zhbtsg fyuyxi xmvfco nqkosl mxxnyn
9 6 7 3 1 2 8 10 11 5 4 12
2 13 0 -1 -1 {0}
1 13 -1 -1 -1 {-1}
4 12 X 2 1 {0, -1}
10 11 X 4 1 {0, -1}
17 10 X 10 1 {0, -1}
28 9 X 17 1 {0, -1}
21 9 X 10 1 {0, -1}
45 8 X 28 21 {0, -1}
3 12 X 1 2 {0, -1}
5 11 X 1 3 {0, -1}
19 9 X 5 1 {0, -1}
8 11 X 2 3 {0, -1}
20 9 X 8 1 {0, -1}
38 8 X 19 20 {0, -1}
71 5 X 45 38 {0, -1}
11 10 X 1 5 {0, -1}
22 9 X 11 1 {0, -1}
40 8 X 22 1 {0, -1}
50 7 X 1 40 {0, -1}
60 6 X 50 1 {0, -1}
68 5 X 28 60 {0, -1}
83 4 X 71 68 {0, -1}
7 11 X 2 1 {0, -1}
18 10 X 10 7 {0, -1}
30 9 X 18 1 {0, -1}
46 8 X 28 30 {0, -1}
9 11 X 3 1 {0, -1}
13 10 X 1 9 {0, -1}
31 9 X 18 13 {0, -1}
47 8 X 28 31 {0, -1}
55 7 X 46 47 {0, -1}
63 6 X 55 46 {0, -1}
77 5 X 63 38 {0, -1}
16 10 X 5 1 {0, -1}
27 9 X 16 1 {0, -1}
39 8 X 19 27 {0, -1}
49 7 X 1 39 {0, -1}
59 6 X 49 1 {0, -1}
65 5 X 1 59 {0, -1}
86 4 X 77 65 {0, -1}
89 3 X 83 86 {0, -1}
6 11 X 1 4 {0, -1}
15 10 X 4 6 {0, -1}
36 8 X 15 10 {0, -1}
33 8 X 6 10 {0, -1}
69 5 X 36 33 {0, -1}
14 10 X 4 1 {0, -1}
24 9 X 14 1 {0, -1}
42 8 X 24 21 {0, -1}
25 9 X 15 1 {0, -1}
43 8 X 25 21 {0, -1}
53 7 X 42 43 {0, -1}
12 10 X 1 6 {0, -1}
23 9 X 12 1 {0, -1}
41 8 X 23 1 {0, -1}
51 7 X 1 41 {0, -1}
73 5 X 53 51 {0, -1}
81 4 X 69 73 {0, -1}
37 8 X 17 18 {0, -1}
56 7 X 47 37 {0, -1}
34 8 X 11 18 {0, -1}
74 5 X 56 34 {0, -1}
72 5 X 45 50 {0, -1}
84 4 X 74 72 {0, -1}
87 3 X 81 84 {0, -1}
92 2 X 89 87 {0, -1}
70 5 X 45 1 {0, -1}
67 5 X 28 1 {0, -1}
82 4 X 70 67 {0, -1}
66 5 X 1 60 {0, -1}
79 4 X 1 66 {0, -1}
88 3 X 82 79 {0, -1}
26 9 X 15 4 {0, -1}
44 8 X 26 1 {0, -1}
35 8 X 15 1 {0, -1}
54 7 X 44 35 {0, -1}
62 6 X 54 44 {0, -1}
32 8 X 6 1 {0, -1}
76 5 X 62 32 {0, -1}
52 7 X 42 1 {0, -1}
61 6 X 52 53 {0, -1}
58 6 X 1 51 {0, -1}
75 5 X 61 58 {0, -1}
85 4 X 76 75 {0, -1}
29 9 X 17 13 {0, -1}
48 8 X 29 21 {0, -1}
57 7 X 48 45 {0, -1}
64 6 X 57 45 {0, -1}
78 5 X 64 50 {0, -1}
80 4 X 1 78 {0, -1}
90 3 X 85 80 {0, -1}
91 2 X 88 90 {0, -1}
93 1 X 92 91 {0, -1}
