200
nlrqeq qvfafd xuojjy odganc psbpsn vslxxn prwdaj abibfd vgmpos nuwfjj qcxltw kgamrs emgrvx iyozin cbkpbm bhtkdv
8 3 11 12 13 5 6 9 14 15 2 4 7 10 16 1
2 17 0 -1 -1 {0}
1 17 -1 -1 -1 {-1}
10 14 X 2 1 {0, -1}
85 10 X 10 1 {0, -1}
6 15 X 2 1 {0, -1}
17 14 X 6 1 {0, -1}
25 13 X 1 17 {0, -1}
43 12 X 1 25 {0, -1}
21 13 X 1 10 {0, -1}
40 12 X 1 21 {0, -1}
71 11 X 43 40 {0, -1}
101 10 X 71 1 {0, -1}
133 8 X 85 101 {0, -1}
90 10 X 43 1 {0, -1}
132 8 X 85 90 {0, -1}
159 7 X 133 132 {0, -1}
116 9 X 1 85 {0, -1}
174 6 X 159 116 {0, -1}
3 16 X 1 2 {0, -1}
36 12 X 1 3 {0, -1}
77 10 X 1 36 {0, -1}
108 9 X 1 77 {0, -1}
137 8 X 108 1 {0, -1}
37 12 X 1 10 {0, -1}
59 11 X 10 37 {0, -1}
92 10 X 59 1 {0, -1}
7 15 X 3 1 {0, -1}
12 14 X 2 7 {0, -1}
9 14 X 1 7 {0, -1}
49 12 X 9 12 {0, -1}
61 11 X 12 49 {0, -1}
14 14 X 3 7 {0, -1}
94 10 X 61 14 {0, -1}
126 9 X 92 94 {0, -1}
29 13 X 10 17 {0, -1}
54 12 X 29 17 {0, -1}
39 12 X 1 17 {0, -1}
76 11 X 54 39 {0, -1}
106 10 X 76 1 {0, -1}
18 14 X 6 7 {0, -1}
32 13 X 12 18 {0, -1}
50 12 X 9 32 {0, -1}
69 11 X 32 50 {0, -1}
20 13 X 1 7 {0, -1}
100 10 X 69 20 {0, -1}
130 9 X 106 100 {0, -1}
149 8 X 126 130 {0, -1}
161 7 X 137 149 {0, -1}
38 12 X 1 14 {0, -1}
70 11 X 38 1 {0, -1}
82 10 X 1 70 {0, -1}
113 9 X 1 82 {0, -1}
140 8 X 113 1 {0, -1}
75 11 X 49 37 {0, -1}
62 11 X 14 1 {0, -1}
104 10 X 75 62 {0, -1}
121 9 X 1 104 {0, -1}
23 13 X 1 14 {0, -1}
65 11 X 23 1 {0, -1}
105 10 X 75 65 {0, -1}
122 9 X 1 105 {0, -1}
147 8 X 121 122 {0, -1}
163 7 X 140 147 {0, -1}
177 6 X 161 163 {0, -1}
185 5 X 174 177 {0, -1}
191 4 X 185 1 {0, -1}
143 8 X 116 85 {0, -1}
175 6 X 159 143 {0, -1}
86 10 X 12 14 {0, -1}
123 9 X 85 86 {0, -1}
87 10 X 17 1 {0, -1}
88 10 X 18 7 {0, -1}
125 9 X 87 88 {0, -1}
148 8 X 123 125 {0, -1}
153 7 X 1 148 {0, -1}
60 11 X 12 10 {0, -1}
93 10 X 60 62 {0, -1}
119 9 X 1 93 {0, -1}
124 9 X 85 93 {0, -1}
145 8 X 119 124 {0, -1}
151 7 X 1 145 {0, -1}
167 6 X 153 151 {0, -1}
186 5 X 175 167 {0, -1}
192 4 X 186 1 {0, -1}
196 3 X 191 192 {0, -1}
4 16 X 2 1 {0, -1}
15 14 X 4 1 {0, -1}
51 12 X 15 10 {0, -1}
63 11 X 15 51 {0, -1}
95 10 X 63 1 {0, -1}
24 13 X 1 15 {0, -1}
53 12 X 24 21 {0, -1}
66 11 X 24 53 {0, -1}
97 10 X 66 1 {0, -1}
136 8 X 95 97 {0, -1}
120 9 X 1 95 {0, -1}
165 6 X 136 120 {0, -1}
55 11 X 1 36 {0, -1}
80 10 X 1 55 {0, -1}
111 9 X 1 80 {0, -1}
11 14 X 2 3 {0, -1}
30 13 X 12 11 {0, -1}
52 12 X 15 30 {0, -1}
64 11 X 15 52 {0, -1}
34 13 X 14 3 {0, -1}
47 12 X 1 34 {0, -1}
57 11 X 1 47 {0, -1}
96 10 X 64 57 {0, -1}
127 9 X 95 96 {0, -1}
156 7 X 111 127 {0, -1}
150 7 X 1 120 {0, -1}
170 6 X 156 150 {0, -1}
182 5 X 165 170 {0, -1}
13 14 X 3 1 {0, -1}
22 13 X 1 13 {0, -1}
41 12 X 1 22 {0, -1}
56 11 X 1 41 {0, -1}
91 10 X 57 56 {0, -1}
118 9 X 1 91 {0, -1}
155 7 X 111 118 {0, -1}
169 6 X 155 1 {0, -1}
180 5 X 1 169 {0, -1}
189 4 X 182 180 {0, -1}
146 8 X 120 95 {0, -1}
166 6 X 136 146 {0, -1}
152 7 X 1 146 {0, -1}
171 6 X 156 152 {0, -1}
183 5 X 166 171 {0, -1}
107 9 X 1 57 {0, -1}
154 7 X 111 107 {0, -1}
168 6 X 154 1 {0, -1}
179 5 X 1 168 {0, -1}
190 4 X 183 179 {0, -1}
195 3 X 189 190 {0, -1}
198 2 X 196 195 {0, -1}
28 13 X 10 15 {0, -1}
89 10 X 28 1 {0, -1}
8 15 X 4 1 {0, -1}
19 14 X 8 1 {0, -1}
26 13 X 1 19 {0, -1}
44 12 X 1 26 {0, -1}
42 12 X 1 24 {0, -1}
72 11 X 44 42 {0, -1}
102 10 X 72 1 {0, -1}
135 8 X 89 102 {0, -1}
134 8 X 89 1 {0, -1}
160 7 X 135 134 {0, -1}
117 9 X 1 89 {0, -1}
27 13 X 9 1 {0, -1}
45 12 X 1 27 {0, -1}
73 11 X 45 1 {0, -1}
103 10 X 73 1 {0, -1}
31 13 X 12 15 {0, -1}
68 11 X 31 28 {0, -1}
99 10 X 68 1 {0, -1}
129 9 X 103 99 {0, -1}
144 8 X 117 129 {0, -1}
176 6 X 160 144 {0, -1}
33 13 X 14 1 {0, -1}
46 12 X 1 33 {0, -1}
79 10 X 1 46 {0, -1}
110 9 X 1 79 {0, -1}
139 8 X 110 1 {0, -1}
78 10 X 1 45 {0, -1}
109 9 X 1 78 {0, -1}
138 8 X 109 1 {0, -1}
162 7 X 139 138 {0, -1}
74 11 X 46 1 {0, -1}
84 10 X 1 74 {0, -1}
115 9 X 1 84 {0, -1}
142 8 X 115 1 {0, -1}
83 10 X 1 73 {0, -1}
114 9 X 1 83 {0, -1}
141 8 X 114 1 {0, -1}
164 7 X 142 141 {0, -1}
178 6 X 162 164 {0, -1}
187 5 X 176 178 {0, -1}
193 4 X 187 1 {0, -1}
67 11 X 27 1 {0, -1}
98 10 X 67 1 {0, -1}
128 9 X 98 1 {0, -1}
131 8 X 1 128 {0, -1}
158 7 X 131 1 {0, -1}
173 6 X 158 1 {0, -1}
184 5 X 173 1 {0, -1}
188 4 X 1 184 {0, -1}
197 3 X 193 188 {0, -1}
5 15 X 1 3 {0, -1}
16 14 X 5 1 {0, -1}
35 13 X 16 1 {0, -1}
48 12 X 1 35 {0, -1}
58 11 X 1 48 {0, -1}
81 10 X 1 58 {0, -1}
112 9 X 1 81 {0, -1}
157 7 X 112 1 {0, -1}
172 6 X 157 1 {0, -1}
181 5 X 1 172 {0, -1}
194 3 X 181 1 {0, -1}
199 2 X 197 194 {0, -1}
200 1 X 198 199 {0, -1}
