69
owsidf hzqbzn ivsrxv jghylm ucssjw sgimig ocmkji oxzrnb cockco msljwv lbfckz pssnsq xctjxc wphutg
1 5 8 11 7 14 12 3 13 10 4 6 2 9
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
4 14 X 2 1 {0, -1}
14 11 X 4 1 {0, -1}
25 10 X 1 14 {0, -1}
9 13 X 4 2 {0, -1}
17 11 X 9 4 {0, -1}
27 10 X 1 17 {0, -1}
37 9 X 25 27 {0, -1}
22 10 X 1 4 {0, -1}
24 10 X 1 9 {0, -1}
35 9 X 22 24 {0, -1}
45 8 X 37 35 {0, -1}
8 13 X 4 1 {0, -1}
18 11 X 9 8 {0, -1}
33 10 X 18 9 {0, -1}
36 9 X 22 33 {0, -1}
42 8 X 1 36 {0, -1}
48 7 X 1 42 {0, -1}
52 6 X 45 48 {0, -1}
56 5 X 52 1 {0, -1}
60 4 X 56 1 {0, -1}
64 3 X 1 60 {0, -1}
23 10 X 1 8 {0, -1}
40 8 X 1 23 {0, -1}
47 7 X 1 40 {0, -1}
15 11 X 4 8 {0, -1}
30 10 X 15 8 {0, -1}
32 10 X 18 8 {0, -1}
39 9 X 30 32 {0, -1}
43 8 X 1 39 {0, -1}
49 7 X 1 43 {0, -1}
54 6 X 47 49 {0, -1}
58 5 X 54 1 {0, -1}
62 4 X 58 1 {0, -1}
65 3 X 1 62 {0, -1}
67 2 X 64 65 {0, -1}
7 13 X 1 4 {0, -1}
16 11 X 7 1 {0, -1}
26 10 X 1 16 {0, -1}
5 13 X 1 2 {0, -1}
13 12 X 7 5 {0, -1}
21 11 X 13 7 {0, -1}
29 10 X 1 21 {0, -1}
38 9 X 26 29 {0, -1}
46 8 X 38 1 {0, -1}
3 14 X 1 2 {0, -1}
6 13 X 1 3 {0, -1}
11 12 X 1 6 {0, -1}
20 11 X 11 1 {0, -1}
28 10 X 1 20 {0, -1}
34 9 X 1 28 {0, -1}
44 8 X 34 1 {0, -1}
50 7 X 44 46 {0, -1}
53 6 X 46 50 {0, -1}
57 5 X 53 1 {0, -1}
61 4 X 57 1 {0, -1}
66 3 X 61 1 {0, -1}
10 12 X 1 4 {0, -1}
12 12 X 1 8 {0, -1}
19 11 X 10 12 {0, -1}
31 10 X 15 19 {0, -1}
41 8 X 1 31 {0, -1}
51 6 X 1 41 {0, -1}
55 5 X 1 51 {0, -1}
59 4 X 1 55 {0, -1}
63 3 X 1 59 {0, -1}
68 2 X 66 63 {0, -1}
69 1 X 67 68 {0, -1}
