407
jenfvy nuckpt xlmwmp cfwlie pumejl uqfbqd esbstx hduryn jzubnf gzvvte ulsmjf eqhbav yejyxc xibllf sywlhy dqmxcq ekysai qseqxf
8 3 4 15 2 6 9 1 5 7 11 18 10 12 13 14 16 17
1 19 -1 -1 -1 {-1}
2 19 0 -1 -1 {0}
3 18 X 1 2 {0, -1}
19 15 X 3 2 {0, -1}
45 14 X 1 19 {0, -1}
6 16 X 1 2 {0, -1}
35 14 X 1 6 {0, -1}
77 13 X 45 35 {0, -1}
11 16 X 3 2 {0, -1}
21 15 X 3 11 {0, -1}
47 14 X 1 21 {0, -1}
79 13 X 47 35 {0, -1}
125 12 X 77 79 {0, -1}
175 11 X 125 1 {0, -1}
201 10 X 1 175 {0, -1}
5 17 X 1 3 {0, -1}
34 14 X 1 5 {0, -1}
148 11 X 34 1 {0, -1}
183 10 X 1 148 {0, -1}
263 9 X 201 183 {0, -1}
14 15 X 1 3 {0, -1}
41 14 X 1 14 {0, -1}
92 12 X 1 41 {0, -1}
129 11 X 1 92 {0, -1}
31 14 X 1 2 {0, -1}
76 13 X 45 31 {0, -1}
39 14 X 1 11 {0, -1}
80 13 X 47 39 {0, -1}
124 12 X 76 80 {0, -1}
113 12 X 1 80 {0, -1}
174 11 X 124 113 {0, -1}
219 10 X 129 174 {0, -1}
15 15 X 1 5 {0, -1}
42 14 X 1 15 {0, -1}
93 12 X 1 42 {0, -1}
130 11 X 1 93 {0, -1}
89 12 X 1 34 {0, -1}
149 11 X 34 89 {0, -1}
227 10 X 130 149 {0, -1}
273 9 X 219 227 {0, -1}
320 8 X 263 273 {0, -1}
354 7 X 1 320 {0, -1}
32 14 X 1 3 {0, -1}
7 16 X 1 3 {0, -1}
36 14 X 1 7 {0, -1}
70 13 X 32 36 {0, -1}
104 12 X 1 70 {0, -1}
168 11 X 104 1 {0, -1}
199 10 X 1 168 {0, -1}
156 11 X 89 1 {0, -1}
189 10 X 1 156 {0, -1}
261 9 X 199 189 {0, -1}
88 12 X 1 32 {0, -1}
216 10 X 129 88 {0, -1}
220 10 X 130 89 {0, -1}
270 9 X 216 220 {0, -1}
317 8 X 261 270 {0, -1}
351 7 X 1 317 {0, -1}
378 6 X 354 351 {0, -1}
110 12 X 1 76 {0, -1}
173 11 X 124 110 {0, -1}
218 10 X 129 173 {0, -1}
4 17 X 1 2 {0, -1}
23 15 X 5 4 {0, -1}
49 14 X 1 23 {0, -1}
33 14 X 1 4 {0, -1}
81 13 X 49 33 {0, -1}
13 16 X 5 4 {0, -1}
27 15 X 5 13 {0, -1}
53 14 X 1 27 {0, -1}
40 14 X 1 13 {0, -1}
85 13 X 53 40 {0, -1}
126 12 X 81 85 {0, -1}
114 12 X 1 81 {0, -1}
177 11 X 126 114 {0, -1}
229 10 X 130 177 {0, -1}
272 9 X 218 229 {0, -1}
302 8 X 1 272 {0, -1}
338 7 X 1 302 {0, -1}
10 16 X 3 1 {0, -1}
20 15 X 3 10 {0, -1}
46 14 X 1 20 {0, -1}
29 15 X 11 10 {0, -1}
55 14 X 1 29 {0, -1}
78 13 X 46 55 {0, -1}
111 12 X 1 78 {0, -1}
170 11 X 111 110 {0, -1}
217 10 X 129 170 {0, -1}
12 16 X 5 1 {0, -1}
26 15 X 5 12 {0, -1}
52 14 X 1 26 {0, -1}
30 15 X 13 12 {0, -1}
56 14 X 1 30 {0, -1}
83 13 X 52 56 {0, -1}
116 12 X 1 83 {0, -1}
172 11 X 116 114 {0, -1}
228 10 X 130 172 {0, -1}
271 9 X 217 228 {0, -1}
301 8 X 1 271 {0, -1}
337 7 X 1 301 {0, -1}
369 6 X 338 337 {0, -1}
387 5 X 378 369 {0, -1}
112 12 X 1 79 {0, -1}
138 11 X 1 112 {0, -1}
176 11 X 125 112 {0, -1}
236 10 X 138 176 {0, -1}
128 11 X 1 89 {0, -1}
213 10 X 128 149 {0, -1}
284 9 X 236 213 {0, -1}
139 11 X 1 113 {0, -1}
237 10 X 139 174 {0, -1}
285 9 X 237 213 {0, -1}
324 8 X 284 285 {0, -1}
358 7 X 1 324 {0, -1}
135 11 X 1 104 {0, -1}
235 10 X 135 104 {0, -1}
205 10 X 128 89 {0, -1}
283 9 X 235 205 {0, -1}
127 11 X 1 88 {0, -1}
202 10 X 127 88 {0, -1}
264 9 X 202 205 {0, -1}
323 8 X 283 264 {0, -1}
357 7 X 1 323 {0, -1}
380 6 X 358 357 {0, -1}
171 11 X 113 110 {0, -1}
204 10 X 127 171 {0, -1}
215 10 X 128 177 {0, -1}
266 9 X 204 215 {0, -1}
298 8 X 1 266 {0, -1}
334 7 X 1 298 {0, -1}
203 10 X 127 170 {0, -1}
214 10 X 128 172 {0, -1}
265 9 X 203 214 {0, -1}
297 8 X 1 265 {0, -1}
333 7 X 1 297 {0, -1}
367 6 X 334 333 {0, -1}
389 5 X 380 367 {0, -1}
399 4 X 387 389 {0, -1}
8 16 X 1 4 {0, -1}
37 14 X 1 8 {0, -1}
84 13 X 53 37 {0, -1}
117 12 X 1 84 {0, -1}
142 11 X 1 117 {0, -1}
73 13 X 34 53 {0, -1}
107 12 X 1 73 {0, -1}
136 11 X 1 107 {0, -1}
249 9 X 142 136 {0, -1}
118 12 X 1 85 {0, -1}
143 11 X 1 118 {0, -1}
250 9 X 143 136 {0, -1}
311 8 X 249 250 {0, -1}
347 7 X 1 311 {0, -1}
9 16 X 1 5 {0, -1}
28 15 X 9 8 {0, -1}
54 14 X 1 28 {0, -1}
74 13 X 34 54 {0, -1}
108 12 X 1 74 {0, -1}
137 11 X 1 108 {0, -1}
248 9 X 137 136 {0, -1}
310 8 X 248 136 {0, -1}
346 7 X 1 310 {0, -1}
374 6 X 347 346 {0, -1}
24 15 X 5 8 {0, -1}
50 14 X 1 24 {0, -1}
22 15 X 4 8 {0, -1}
48 14 X 1 22 {0, -1}
82 13 X 50 48 {0, -1}
115 12 X 1 82 {0, -1}
141 11 X 1 115 {0, -1}
182 10 X 1 141 {0, -1}
140 11 X 1 114 {0, -1}
181 10 X 1 140 {0, -1}
253 9 X 182 181 {0, -1}
295 8 X 1 253 {0, -1}
331 7 X 1 295 {0, -1}
25 15 X 5 9 {0, -1}
51 14 X 1 25 {0, -1}
96 12 X 1 51 {0, -1}
132 11 X 1 96 {0, -1}
233 10 X 132 141 {0, -1}
211 10 X 128 140 {0, -1}
281 9 X 233 211 {0, -1}
305 8 X 1 281 {0, -1}
341 7 X 1 305 {0, -1}
365 6 X 331 341 {0, -1}
384 5 X 374 365 {0, -1}
394 4 X 1 384 {0, -1}
403 3 X 399 394 {0, -1}
153 11 X 84 1 {0, -1}
187 10 X 1 153 {0, -1}
254 9 X 187 183 {0, -1}
57 14 X 15 1 {0, -1}
122 12 X 57 15 {0, -1}
146 11 X 1 122 {0, -1}
16 15 X 1 8 {0, -1}
60 14 X 16 13 {0, -1}
86 13 X 53 60 {0, -1}
119 12 X 1 86 {0, -1}
155 11 X 85 119 {0, -1}
242 10 X 146 155 {0, -1}
17 15 X 1 9 {0, -1}
61 14 X 17 5 {0, -1}
75 13 X 34 61 {0, -1}
109 12 X 1 75 {0, -1}
150 11 X 34 109 {0, -1}
