330
pkecfr yzrqjn wexggv rddfkk dxsvhv jhpqbp mizccv thsrtn iobjgp lwoduv shubqq reeqrq qoqkdu yfnzus fvxcda vxqhtg fcnewd qtoblf pjhswi cqujqh
17 9 1 4 7 3 8 10 6 13 15 16 19 2 5 11 12 14 18 20
3 21 1 -1 -1 {1}
4 21 2 -1 -1 {2}
66 15 X 4 3 {1, 2}
252 8 X 3 66 {1, 2}
298 6 X 3 252 {1, 2}
310 5 X 3 298 {1, 2}
2 21 0 -1 -1 {0}
13 19 X 3 2 {0, 1}
32 17 X 3 13 {0, 1}
44 16 X 3 32 {0, 1}
119 13 X 44 3 {0, 1}
140 12 X 3 119 {0, 1}
186 11 X 140 3 {0, 1}
218 10 X 186 3 {0, 1}
250 9 X 218 3 {0, 1}
283 8 X 250 3 {0, 1}
296 7 X 283 3 {0, 1}
113 13 X 32 3 {0, 1}
179 11 X 113 3 {0, 1}
238 9 X 179 3 {0, 1}
271 8 X 238 3 {0, 1}
107 13 X 2 3 {0, 1}
177 11 X 107 3 {0, 1}
136 12 X 3 107 {0, 1}
183 11 X 136 3 {0, 1}
237 9 X 177 183 {0, 1}
270 8 X 237 3 {0, 1}
289 7 X 271 270 {0, 1}
308 6 X 296 289 {0, 1}
24 18 X 13 3 {0, 1}
35 17 X 3 24 {0, 1}
79 15 X 35 32 {0, 1}
126 13 X 79 3 {0, 1}
157 12 X 113 126 {0, 1}
195 11 X 157 3 {0, 1}
198 10 X 3 195 {0, 1}
240 9 X 198 3 {0, 1}
96 14 X 3 66 {1, 2}
236 9 X 96 66 {1, 2}
273 8 X 240 236 {0, 1, 2}
30 17 X 3 2 {0, 1}
110 13 X 30 3 {0, 1}
7 20 X 3 2 {0, 1}
22 18 X 7 3 {0, 1}
34 17 X 3 22 {0, 1}
31 17 X 3 7 {0, 1}
78 15 X 34 31 {0, 1}
18 18 X 2 3 {0, 1}
33 17 X 3 18 {0, 1}
77 15 X 33 30 {0, 1}
102 14 X 78 77 {0, 1}
135 13 X 102 3 {0, 1}
155 12 X 110 135 {0, 1}
194 11 X 155 3 {0, 1}
197 10 X 3 194 {0, 1}
146 12 X 3 135 {0, 1}
190 11 X 146 3 {0, 1}
196 10 X 3 190 {0, 1}
239 9 X 197 196 {0, 1}
272 8 X 239 66 {0, 1, 2}
290 7 X 273 272 {0, 1, 2}
299 6 X 3 290 {0, 1, 2}
319 5 X 308 299 {0, 1, 2}
321 4 X 310 319 {0, 1, 2}
43 16 X 3 24 {0, 1}
118 13 X 43 3 {0, 1}
139 12 X 3 118 {0, 1}
185 11 X 139 3 {0, 1}
217 10 X 185 3 {0, 1}
227 9 X 3 217 {0, 1}
253 8 X 3 227 {0, 1}
286 7 X 253 3 {0, 1}
75 15 X 24 3 {0, 1}
50 16 X 24 3 {0, 1}
87 15 X 50 3 {0, 1}
124 13 X 75 87 {0, 1}
143 12 X 3 124 {0, 1}
189 11 X 143 3 {0, 1}
221 10 X 189 3 {0, 1}
229 9 X 3 221 {0, 1}
255 8 X 3 229 {0, 1}
72 15 X 18 3 {0, 1}
47 16 X 18 3 {0, 1}
85 15 X 47 3 {0, 1}
103 14 X 85 72 {0, 1}
121 13 X 72 103 {0, 1}
142 12 X 3 121 {0, 1}
188 11 X 142 3 {0, 1}
220 10 X 188 3 {0, 1}
228 9 X 3 220 {0, 1}
254 8 X 3 228 {0, 1}
287 7 X 255 254 {0, 1}
306 6 X 286 287 {0, 1}
318 5 X 306 298 {0, 1, 2}
45 16 X 3 35 {0, 1}
120 13 X 45 3 {0, 1}
141 12 X 3 120 {0, 1}
187 11 X 141 140 {0, 1}
219 10 X 187 3 {0, 1}
251 9 X 219 3 {0, 1}
284 8 X 251 227 {0, 1}
297 7 X 284 3 {0, 1}
59 16 X 35 3 {0, 1}
115 13 X 35 59 {0, 1}
57 16 X 32 3 {0, 1}
114 13 X 32 57 {0, 1}
180 11 X 115 114 {0, 1}
213 10 X 180 114 {0, 1}
247 9 X 213 3 {0, 1}
280 8 X 247 229 {0, 1}
41 17 X 18 3 {0, 1}
98 14 X 47 41 {0, 1}
109 13 X 18 98 {0, 1}
55 16 X 30 3 {0, 1}
99 14 X 55 3 {0, 1}
111 13 X 30 99 {0, 1}
178 11 X 109 111 {0, 1}
212 10 X 178 111 {0, 1}
97 14 X 47 18 {0, 1}
108 13 X 18 97 {0, 1}
137 12 X 3 108 {0, 1}
100 14 X 55 30 {0, 1}
112 13 X 30 100 {0, 1}
138 12 X 3 112 {0, 1}
184 11 X 137 138 {0, 1}
216 10 X 184 138 {0, 1}
246 9 X 212 216 {0, 1}
279 8 X 246 228 {0, 1}
294 7 X 280 279 {0, 1}
309 6 X 297 294 {0, 1}
84 15 X 45 44 {0, 1}
130 13 X 84 3 {0, 1}
144 12 X 3 130 {0, 1}
161 11 X 3 144 {0, 1}
199 10 X 161 3 {0, 1}
241 9 X 199 3 {0, 1}
274 8 X 241 3 {0, 1}
291 7 X 274 3 {0, 1}
58 16 X 32 35 {0, 1}
90 15 X 58 32 {0, 1}
132 13 X 90 57 {0, 1}
158 12 X 114 132 {0, 1}
164 11 X 3 158 {0, 1}
202 10 X 164 158 {0, 1}
