32
zwywoa jhzwmw bgnvpy tvipyy htezoi senuju lxkqql xhvlkt crlgwz ecfeif dqajvx wqumnf
1 5 2 3 12 10 8 9 4 6 11 7
1 13 -1 -1 -1 {-1}
2 13 0 -1 -1 {0}
3 12 X 1 2 {0, -1}
6 11 X 3 1 {0, -1}
9 10 X 1 6 {0, -1}
12 9 X 9 1 {0, -1}
14 8 X 12 1 {0, -1}
18 6 X 14 1 {0, -1}
22 5 X 18 1 {0, -1}
25 4 X 22 1 {0, -1}
29 3 X 25 1 {0, -1}
26 3 X 1 22 {0, -1}
31 2 X 29 26 {0, -1}
4 11 X 1 2 {0, -1}
7 10 X 1 4 {0, -1}
10 9 X 1 7 {0, -1}
20 5 X 10 1 {0, -1}
23 4 X 1 20 {0, -1}
27 3 X 1 23 {0, -1}
13 8 X 10 7 {0, -1}
5 11 X 1 3 {0, -1}
8 10 X 1 5 {0, -1}
11 9 X 8 7 {0, -1}
17 6 X 11 7 {0, -1}
16 7 X 8 1 {0, -1}
15 7 X 7 1 {0, -1}
19 6 X 16 15 {0, -1}
21 5 X 17 19 {0, -1}
24 4 X 13 21 {0, -1}
28 3 X 1 24 {0, -1}
30 2 X 27 28 {0, -1}
32 1 X 31 30 {0, -1}
