132
znjqsu jmjbxg lcxptv aacysi mabrbs xeapux onqent zhubay ofdizk mjolly yzqodv echzqn wlevhi qlhqyp
10 14 11 2 1 5 8 3 9 4 6 12 7 13
1 15 -1 -1 -1 {-1}
2 15 0 -1 -1 {0}
4 14 X 2 1 {0, -1}
7 13 X 1 4 {0, -1}
19 12 X 7 1 {0, -1}
30 11 X 19 1 {0, -1}
37 10 X 1 30 {0, -1}
52 9 X 37 1 {0, -1}
101 6 X 52 1 {0, -1}
3 14 X 1 2 {0, -1}
6 13 X 1 3 {0, -1}
11 12 X 1 6 {0, -1}
9 12 X 1 3 {0, -1}
24 11 X 11 9 {0, -1}
34 10 X 1 24 {0, -1}
57 9 X 37 34 {0, -1}
77 8 X 52 57 {0, -1}
94 7 X 77 52 {0, -1}
18 12 X 6 1 {0, -1}
14 12 X 3 1 {0, -1}
29 11 X 18 14 {0, -1}
36 10 X 1 29 {0, -1}
58 9 X 37 36 {0, -1}
67 8 X 1 58 {0, -1}
66 8 X 1 52 {0, -1}
89 7 X 67 66 {0, -1}
110 6 X 94 89 {0, -1}
117 5 X 101 110 {0, -1}
120 4 X 1 117 {0, -1}
126 3 X 1 120 {0, -1}
5 13 X 1 2 {0, -1}
70 8 X 5 1 {0, -1}
39 10 X 5 1 {0, -1}
72 8 X 39 1 {0, -1}
91 7 X 70 72 {0, -1}
98 6 X 1 91 {0, -1}
17 12 X 5 7 {0, -1}
28 11 X 17 1 {0, -1}
71 8 X 28 1 {0, -1}
92 7 X 71 1 {0, -1}
99 6 X 1 92 {0, -1}
114 5 X 98 99 {0, -1}
122 4 X 114 1 {0, -1}
33 10 X 1 19 {0, -1}
48 9 X 33 5 {0, -1}
82 7 X 48 1 {0, -1}
10 12 X 1 5 {0, -1}
41 10 X 10 5 {0, -1}
62 9 X 41 5 {0, -1}
79 8 X 62 48 {0, -1}
40 10 X 10 1 {0, -1}
61 9 X 40 39 {0, -1}
46 9 X 1 39 {0, -1}
78 8 X 61 46 {0, -1}
95 7 X 79 78 {0, -1}
102 6 X 82 95 {0, -1}
22 11 X 5 1 {0, -1}
54 9 X 37 22 {0, -1}
85 7 X 54 1 {0, -1}
12 12 X 1 7 {0, -1}
26 11 X 12 1 {0, -1}
45 10 X 26 28 {0, -1}
63 9 X 45 28 {0, -1}
56 9 X 37 28 {0, -1}
80 8 X 63 56 {0, -1}
96 7 X 80 1 {0, -1}
105 6 X 85 96 {0, -1}
118 5 X 102 105 {0, -1}
15 12 X 4 1 {0, -1}
27 11 X 15 1 {0, -1}
35 10 X 1 27 {0, -1}
50 9 X 35 2 {0, -1}
64 8 X 1 50 {0, -1}
8 13 X 4 1 {0, -1}
20 12 X 8 1 {0, -1}
31 11 X 20 1 {0, -1}
38 10 X 1 31 {0, -1}
59 9 X 38 1 {0, -1}
68 8 X 1 59 {0, -1}
87 7 X 64 68 {0, -1}
13 12 X 2 4 {0, -1}
51 9 X 35 13 {0, -1}
65 8 X 1 51 {0, -1}
88 7 X 65 68 {0, -1}
107 6 X 87 88 {0, -1}
111 5 X 1 107 {0, -1}
124 4 X 118 111 {0, -1}
129 3 X 122 124 {0, -1}
130 2 X 126 129 {0, -1}
25 11 X 11 10 {0, -1}
42 10 X 11 25 {0, -1}
49 9 X 33 42 {0, -1}
100 6 X 49 1 {0, -1}
75 8 X 52 1 {0, -1}
84 7 X 52 75 {0, -1}
104 6 X 84 1 {0, -1}
115 5 X 100 104 {0, -1}
21 11 X 1 9 {0, -1}
53 9 X 37 21 {0, -1}
76 8 X 52 53 {0, -1}
93 7 X 76 52 {0, -1}
109 6 X 93 1 {0, -1}
116 5 X 101 109 {0, -1}
123 4 X 115 116 {0, -1}
127 3 X 1 123 {0, -1}
16 12 X 5 1 {0, -1}
43 10 X 16 1 {0, -1}
73 8 X 43 1 {0, -1}
81 7 X 1 73 {0, -1}
97 6 X 1 81 {0, -1}
113 5 X 97 1 {0, -1}
121 4 X 113 1 {0, -1}
83 7 X 48 46 {0, -1}
103 6 X 83 1 {0, -1}
23 11 X 7 1 {0, -1}
55 9 X 37 23 {0, -1}
44 10 X 23 1 {0, -1}
47 9 X 1 44 {0, -1}
74 8 X 47 1 {0, -1}
86 7 X 55 74 {0, -1}
106 6 X 86 1 {0, -1}
119 5 X 103 106 {0, -1}
32 10 X 1 8 {0, -1}
60 9 X 38 32 {0, -1}
69 8 X 1 60 {0, -1}
90 7 X 69 68 {0, -1}
108 6 X 87 90 {0, -1}
112 5 X 1 108 {0, -1}
125 4 X 119 112 {0, -1}
128 3 X 121 125 {0, -1}
131 2 X 127 128 {0, -1}
132 1 X 130 131 {0, -1}
