198
zpajrq hblxnh akxtrg mbencv jqspwk whebyd rbzfmp ziyxre jwzuew ijxfxv ducmoa qrwpvo oharra pswcvg dvntvp cfbcxi bstymu dgkvkj
7 9 3 4 16 8 18 2 11 13 14 1 6 10 17 12 15 5
3 19 1 -1 -1 {1}
2 19 0 -1 -1 {0}
14 15 X 2 3 {0, 1}
8 16 X 3 2 {0, 1}
20 15 X 8 3 {0, 1}
32 14 X 14 20 {0, 1}
49 13 X 3 32 {0, 1}
81 10 X 3 49 {0, 1}
75 12 X 49 3 {0, 1}
101 10 X 3 75 {0, 1}
115 9 X 81 101 {0, 1}
141 8 X 115 81 {0, 1}
129 8 X 3 81 {0, 1}
164 7 X 141 129 {0, 1}
31 14 X 14 3 {0, 1}
48 13 X 3 31 {0, 1}
80 10 X 3 48 {0, 1}
38 14 X 20 3 {0, 1}
52 13 X 3 38 {0, 1}
76 12 X 52 3 {0, 1}
102 10 X 3 76 {0, 1}
113 9 X 80 102 {0, 1}
83 10 X 3 52 {0, 1}
112 9 X 80 83 {0, 1}
139 8 X 113 112 {0, 1}
4 18 X 3 2 {0, 1}
11 16 X 4 2 {0, 1}
24 15 X 11 3 {0, 1}
41 14 X 24 3 {0, 1}
55 13 X 3 41 {0, 1}
85 10 X 3 55 {0, 1}
120 9 X 85 102 {0, 1}
119 9 X 85 83 {0, 1}
143 8 X 120 119 {0, 1}
162 7 X 139 143 {0, 1}
179 6 X 164 162 {0, 1}
114 9 X 81 3 {0, 1}
140 8 X 114 81 {0, 1}
163 7 X 140 129 {0, 1}
118 9 X 85 3 {0, 1}
142 8 X 118 119 {0, 1}
178 6 X 163 142 {0, 1}
186 5 X 179 178 {0, 1}
191 4 X 186 3 {0, 1}
12 16 X 4 3 {0, 1}
25 15 X 12 3 {0, 1}
42 14 X 25 3 {0, 1}
56 13 X 3 42 {0, 1}
69 12 X 3 56 {0, 1}
97 10 X 3 69 {0, 1}
7 16 X 2 3 {0, 1}
19 15 X 7 3 {0, 1}
37 14 X 19 3 {0, 1}
51 13 X 3 37 {0, 1}
82 10 X 3 51 {0, 1}
137 8 X 97 82 {0, 1}
161 7 X 137 129 {0, 1}
128 9 X 97 3 {0, 1}
116 9 X 82 3 {0, 1}
148 8 X 128 116 {0, 1}
18 15 X 4 3 {0, 1}
36 14 X 18 3 {0, 1}
50 13 X 3 36 {0, 1}
66 12 X 3 50 {0, 1}
94 10 X 3 66 {0, 1}
9 16 X 3 4 {0, 1}
21 15 X 9 3 {0, 1}
39 14 X 21 3 {0, 1}
53 13 X 3 39 {0, 1}
67 12 X 3 53 {0, 1}
95 10 X 3 67 {0, 1}
127 9 X 94 95 {0, 1}
147 8 X 127 119 {0, 1}
165 7 X 148 147 {0, 1}
176 6 X 161 165 {0, 1}
86 10 X 3 56 {0, 1}
121 9 X 86 3 {0, 1}
149 8 X 128 121 {0, 1}
166 7 X 149 147 {0, 1}
177 6 X 161 166 {0, 1}
185 5 X 176 177 {0, 1}
190 4 X 185 3 {0, 1}
195 3 X 191 190 {0, 1}
1 19 -1 -1 -1 {-1}
13 15 X 1 3 {1, -1}
77 11 X 3 13 {1, -1}
167 6 X 3 77 {1, -1}
192 3 X 167 77 {1, -1}
197 2 X 195 192 {0, 1, -1}
15 15 X 3 2 {0, 1}
33 14 X 15 3 {0, 1}
57 13 X 33 3 {0, 1}
87 10 X 3 57 {0, 1}
122 9 X 87 3 {0, 1}
26 14 X 2 20 {0, 1}
58 13 X 33 26 {0, 1}
88 10 X 3 58 {0, 1}
43 13 X 3 26 {0, 1}
72 12 X 43 3 {0, 1}
73 12 X 43 58 {0, 1}
104 10 X 72 73 {0, 1}
123 9 X 88 104 {0, 1}
144 8 X 122 123 {0, 1}
156 7 X 3 144 {0, 1}
23 15 X 11 2 {0, 1}
40 14 X 23 3 {0, 1}
59 13 X 33 40 {0, 1}
89 10 X 3 59 {0, 1}
124 9 X 89 3 {0, 1}
29 14 X 8 3 {0, 1}
46 13 X 3 29 {0, 1}
17 15 X 3 8 {0, 1}
35 14 X 17 3 {0, 1}
61 13 X 35 29 {0, 1}
74 12 X 46 61 {0, 1}
100 10 X 3 74 {0, 1}
125 9 X 89 100 {0, 1}
145 8 X 124 125 {0, 1}
157 7 X 3 145 {0, 1}
175 6 X 156 157 {0, 1}
180 5 X 3 175 {0, 1}
70 12 X 3 59 {0, 1}
98 10 X 3 70 {0, 1}
109 9 X 3 98 {0, 1}
134 8 X 3 109 {0, 1}
152 7 X 3 134 {0, 1}
